ortholog_1	ancg_1	g_1
ortholog_2	ancg_2	g_2
ortholog_3	ancg_3	g_3
ortholog_4	ancg_4	g_4
ortholog_5	ancg_5	g_5
ortholog_6	ancg_6	g_6
ortholog_7	ancg_7	g_7
ortholog_8	ancg_8	g_8
ortholog_9	ancg_9	g_9
ortholog_10	ancg_10	g_10
ortholog_11	ancg_11	g_11
ortholog_12	ancg_12	g_12
ortholog_13	ancg_13	g_13
ortholog_14	ancg_14	g_14
ortholog_15	ancg_15	g_15
ortholog_16	ancg_16	g_16
ortholog_17	ancg_17	g_17
ortholog_18	ancg_18	g_18
ortholog_19	ancg_19	g_19
ortholog_20	ancg_20	g_20
ortholog_21	ancg_21	g_21
ortholog_22	ancg_22	g_22
ortholog_23	ancg_23	g_23
ortholog_24	ancg_24	g_24
ortholog_25	ancg_25	g_25
ortholog_26	ancg_26	g_26
ortholog_27	ancg_27	g_27
ortholog_28	ancg_28	g_28
ortholog_29	ancg_29	g_29
ortholog_30	ancg_30	g_30
ortholog_31	ancg_31	g_31
ortholog_32	ancg_32	g_32
ortholog_33	ancg_33	g_33
ortholog_34	ancg_34	g_34
ortholog_35	ancg_35	g_35
ortholog_36	ancg_36	g_36
ortholog_37	ancg_37	g_37
ortholog_38	ancg_38	g_38
ortholog_39	ancg_39	g_39
ortholog_40	ancg_40	g_40
ortholog_41	ancg_41	g_41
ortholog_42	ancg_42	g_42
ortholog_43	ancg_43	g_43
ortholog_44	ancg_44	g_44
ortholog_45	ancg_45	g_45
ortholog_46	ancg_46	g_46
ortholog_47	ancg_47	g_47
ortholog_48	ancg_48	g_48
ortholog_49	ancg_49	g_49
ortholog_50	ancg_50	g_50
ortholog_51	ancg_51	g_51
ortholog_52	ancg_52	g_52
ortholog_53	ancg_53	g_53
ortholog_54	ancg_54	g_54
ortholog_55	ancg_55	g_55
ortholog_56	ancg_56	g_56
ortholog_57	ancg_57	g_57
ortholog_58	ancg_58	g_58
ortholog_59	ancg_59	g_59
ortholog_60	ancg_60	g_60
ortholog_61	ancg_61	g_61
ortholog_62	ancg_62	g_62
ortholog_63	ancg_63	g_63
ortholog_64	ancg_64	g_64
ortholog_65	ancg_65	g_65
ortholog_66	ancg_66	g_66
ortholog_67	ancg_67	g_67
ortholog_68	ancg_68	g_68
ortholog_69	ancg_69	g_69
ortholog_70	ancg_70	g_70
ortholog_71	ancg_71	g_71
ortholog_72	ancg_72	g_72
ortholog_73	ancg_73	g_73
ortholog_74	ancg_74	g_74
ortholog_75	ancg_75	g_75
ortholog_76	ancg_76	g_76
ortholog_77	ancg_77	g_77
ortholog_78	ancg_78	g_78
ortholog_79	ancg_79	g_79
ortholog_80	ancg_80	g_80
ortholog_81	ancg_81	g_81
ortholog_82	ancg_82	g_82
ortholog_83	ancg_83	g_83
ortholog_84	ancg_84	g_84
ortholog_85	ancg_85	g_85
ortholog_86	ancg_86	g_86
ortholog_87	ancg_87	g_87
ortholog_88	ancg_88	g_88
ortholog_89	ancg_89	g_89
ortholog_90	ancg_90	g_90
ortholog_91	ancg_91	g_91
ortholog_92	ancg_92	g_92
ortholog_93	ancg_93	g_93
ortholog_94	ancg_94	g_94
ortholog_95	ancg_95	g_95
ortholog_96	ancg_96	g_96
ortholog_97	ancg_97	g_97
ortholog_98	ancg_98	g_98
ortholog_99	ancg_99	g_99
ortholog_100	ancg_100	g_100
ortholog_101	ancg_101	g_101
ortholog_102	ancg_102	g_102
ortholog_103	ancg_103	g_103
ortholog_104	ancg_104	g_104
ortholog_105	ancg_105	g_105
ortholog_106	ancg_106	g_106
ortholog_107	ancg_107	g_107
ortholog_108	ancg_108	g_108
ortholog_109	ancg_109	g_109
ortholog_110	ancg_110	g_110
ortholog_111	ancg_111	g_111
ortholog_112	ancg_112	g_112
ortholog_113	ancg_113	g_113
ortholog_114	ancg_114	g_114
ortholog_115	ancg_115	g_115
ortholog_116	ancg_116	g_116
ortholog_117	ancg_117	g_117
ortholog_118	ancg_118	g_118
ortholog_119	ancg_119	g_119
ortholog_120	ancg_120	g_120
ortholog_121	ancg_121	g_121
ortholog_122	ancg_122	g_122
ortholog_123	ancg_123	g_123
ortholog_124	ancg_124	g_124
ortholog_125	ancg_125	g_125
ortholog_126	ancg_126	g_126
ortholog_127	ancg_127	g_127
ortholog_128	ancg_128	g_128
ortholog_129	ancg_129	g_129
ortholog_130	ancg_130	g_130
ortholog_131	ancg_131	g_131
ortholog_132	ancg_132	g_132
ortholog_133	ancg_133	g_133
ortholog_134	ancg_134	g_134
ortholog_135	ancg_135	g_135
ortholog_136	ancg_136	g_136
ortholog_137	ancg_137	g_137
ortholog_138	ancg_138	g_138
ortholog_139	ancg_139	g_139
ortholog_140	ancg_140	g_140
ortholog_141	ancg_141	g_141
ortholog_142	ancg_142	g_142
ortholog_143	ancg_143	g_143
ortholog_144	ancg_144	g_144
ortholog_145	ancg_145	g_145
ortholog_146	ancg_146	g_146
ortholog_147	ancg_147	g_147
ortholog_148	ancg_148	g_148
ortholog_149	ancg_149	g_149
ortholog_150	ancg_150	g_150
ortholog_151	ancg_151	g_151
ortholog_152	ancg_152	g_152
ortholog_153	ancg_153	g_153
ortholog_154	ancg_154	g_154
ortholog_155	ancg_155	g_155
ortholog_156	ancg_156	g_156
ortholog_157	ancg_157	g_157
ortholog_158	ancg_158	g_158
ortholog_159	ancg_159	g_159
ortholog_160	ancg_160	g_160
ortholog_161	ancg_161	g_161
ortholog_162	ancg_162	g_162
ortholog_163	ancg_163	g_163
ortholog_164	ancg_164	g_164
ortholog_165	ancg_165	g_165
ortholog_166	ancg_166	g_166
ortholog_167	ancg_167	g_167
ortholog_168	ancg_168	g_168
ortholog_169	ancg_169	g_169
ortholog_170	ancg_170	g_170
ortholog_171	ancg_171	g_171
ortholog_172	ancg_172	g_172
ortholog_173	ancg_173	g_173
ortholog_174	ancg_174	g_174
ortholog_175	ancg_175	g_175
ortholog_176	ancg_176	g_176
ortholog_177	ancg_177	g_177
ortholog_178	ancg_178	g_178
ortholog_179	ancg_179	g_179
ortholog_180	ancg_180	g_180
ortholog_181	ancg_181	g_181
ortholog_182	ancg_182	g_182
ortholog_183	ancg_183	g_183
ortholog_184	ancg_184	g_184
ortholog_185	ancg_185	g_185
ortholog_186	ancg_186	g_186
ortholog_187	ancg_187	g_187
ortholog_188	ancg_188	g_188
ortholog_189	ancg_189	g_189
ortholog_190	ancg_190	g_190
ortholog_191	ancg_191	g_191
ortholog_192	ancg_192	g_192
ortholog_193	ancg_193	g_193
ortholog_194	ancg_194	g_194
ortholog_195	ancg_195	g_195
ortholog_196	ancg_196	g_196
ortholog_197	ancg_197	g_197
ortholog_198	ancg_198	g_198
ortholog_199	ancg_199	g_199
ortholog_200	ancg_200	g_200
ortholog_201	ancg_201	g_201
ortholog_202	ancg_202	g_202
ortholog_203	ancg_203	g_203
ortholog_204	ancg_204	g_204
ortholog_205	ancg_205	g_205
ortholog_206	ancg_206	g_206
ortholog_207	ancg_207	g_207
ortholog_208	ancg_208	g_208
