ortholog_1 Parliv_PL00053 gene-HOLleu_28958
ortholog_2 Parliv_PL00054 gene-HOLleu_43885
ortholog_3 Parliv_PL00067 gene-HOLleu_30025
ortholog_4 Parliv_PL00079 gene-HOLleu_03392
ortholog_5 Parliv_PL00077 gene-HOLleu_01186
ortholog_6 Parliv_PL00066 gene-HOLleu_35455
ortholog_7 Parliv_PL00062 gene-HOLleu_43396
ortholog_8 Parliv_PL00443 gene-HOLleu_34843
ortholog_9 Parliv_PL01911 gene-HOLleu_28667
ortholog_10 Parliv_PL01419 gene-HOLleu_29488
ortholog_11 Parliv_PL01754 gene-HOLleu_28208
ortholog_12 Parliv_PL00628 gene-HOLleu_28207
ortholog_13 Parliv_PL01232 gene-HOLleu_28204
ortholog_14 Parliv_PL01388 gene-HOLleu_18642
ortholog_15 Parliv_PL01741 gene-HOLleu_41120
ortholog_16 Parliv_PL01874 gene-HOLleu_28596
ortholog_17 Parliv_PL01112 gene-HOLleu_28782
ortholog_18 Parliv_PL01785 gene-HOLleu_28868
ortholog_19 Parliv_PL01636 gene-HOLleu_25762
ortholog_20 Parliv_PL00947 gene-HOLleu_28543
ortholog_21 Parliv_PL01401 gene-HOLleu_28210
ortholog_22 Parliv_PL01107 gene-HOLleu_29036
ortholog_23 Parliv_PL01600 gene-HOLleu_29357
ortholog_24 Parliv_PL01752 gene-HOLleu_28509
ortholog_25 Parliv_PL01642 gene-HOLleu_28193
ortholog_26 Parliv_PL01224 gene-HOLleu_28637
ortholog_27 Parliv_PL01176 gene-HOLleu_28753
ortholog_28 Parliv_PL01517 gene-HOLleu_12780
ortholog_29 Parliv_PL00282 gene-HOLleu_40982
ortholog_30 Parliv_PL01733 gene-HOLleu_28457
ortholog_31 Parliv_PL01076 gene-HOLleu_34394
ortholog_32 Parliv_PL00560 gene-HOLleu_28256
ortholog_33 Parliv_PL01674 gene-HOLleu_28255
ortholog_34 Parliv_PL00739 gene-HOLleu_28253
ortholog_35 Parliv_PL01214 gene-HOLleu_29033
ortholog_36 Parliv_PL00273 gene-HOLleu_28252
ortholog_37 Parliv_PL01896 gene-HOLleu_19799
ortholog_38 Parliv_PL00686 gene-HOLleu_28661
ortholog_39 Parliv_PL01537 gene-HOLleu_29017
ortholog_40 Parliv_PL00234 gene-HOLleu_28277
ortholog_41 Parliv_PL01451 gene-HOLleu_28556
ortholog_42 Parliv_PL01786 gene-HOLleu_28547
ortholog_43 Parliv_PL00677 gene-HOLleu_28263
ortholog_44 Parliv_PL01871 gene-HOLleu_28767
ortholog_45 Parliv_PL00149 gene-HOLleu_28681
ortholog_46 Parliv_PL00814 gene-HOLleu_28355
ortholog_47 Parliv_PL01150 gene-HOLleu_28994
ortholog_48 Parliv_PL01188 gene-HOLleu_29442
ortholog_49 Parliv_PL01234 gene-HOLleu_29472
ortholog_50 Parliv_PL01910 gene-HOLleu_29473
ortholog_51 Parliv_PL00626 gene-HOLleu_29480
ortholog_52 Parliv_PL01118 gene-HOLleu_29482
ortholog_53 Parliv_PL01842 gene-HOLleu_29484
ortholog_54 Parliv_PL01414 gene-HOLleu_29007
ortholog_55 Parliv_PL00138 gene-HOLleu_29313
ortholog_56 Parliv_PL00616 gene-HOLleu_29635
ortholog_57 Parliv_PL01901 gene-HOLleu_29634
ortholog_58 Parliv_PL01099 gene-HOLleu_45246
ortholog_59 Parliv_PL00736 gene-HOLleu_28870
ortholog_60 Parliv_PL01749 gene-HOLleu_28476
ortholog_61 Parliv_PL00400 gene-HOLleu_28466
ortholog_62 Parliv_PL00441 gene-HOLleu_28590
ortholog_63 Parliv_PL01284 gene-HOLleu_28589
ortholog_64 Parliv_PL00228 gene-HOLleu_11536
ortholog_65 Parliv_PL00604 gene-HOLleu_24083
ortholog_66 Parliv_PL01612 gene-HOLleu_28545
ortholog_67 Parliv_PL01587 gene-HOLleu_28546
ortholog_68 Parliv_PL00987 gene-HOLleu_28124
ortholog_69 Parliv_PL00842 gene-HOLleu_28123
ortholog_70 Parliv_PL00578 gene-HOLleu_28159
ortholog_71 Parliv_PL01681 gene-HOLleu_08013
ortholog_72 Parliv_PL01523 gene-HOLleu_28662
ortholog_73 Parliv_PL01602 gene-HOLleu_29467
ortholog_74 Parliv_PL00596 gene-HOLleu_03590
ortholog_75 Parliv_PL01216 gene-HOLleu_28741
ortholog_76 Parliv_PL01263 gene-HOLleu_28167
ortholog_77 Parliv_PL00602 gene-HOLleu_28168
ortholog_78 Parliv_PL00956 gene-HOLleu_29601
ortholog_79 Parliv_PL00743 gene-HOLleu_28914
ortholog_80 Parliv_PL00353 gene-HOLleu_29530
ortholog_81 Parliv_PL01148 gene-HOLleu_29103
ortholog_82 Parliv_PL01574 gene-HOLleu_29561
ortholog_83 Parliv_PL01808 gene-HOLleu_29560
ortholog_84 Parliv_PL00588 gene-HOLleu_28794
ortholog_85 Parliv_PL00854 gene-HOLleu_28775
ortholog_86 Parliv_PL00954 gene-HOLleu_28778
ortholog_87 Parliv_PL00236 gene-HOLleu_29586
ortholog_88 Parliv_PL00733 gene-HOLleu_28174
ortholog_89 Parliv_PL00632 gene-HOLleu_29355
