ortholog_1 MGL01089.1 BL00872
ortholog_2 MGL01347.1 BL01323
ortholog_3 MGL01401.1 BL08260
ortholog_4 MGL01487.1 BL01582
ortholog_5 MGL00722.1 BL14588
ortholog_6 MGL01583.1 BL01217
ortholog_7 MGL00063.1 BL18258
ortholog_8 MGL00109.1 BL01216
ortholog_9 MGL00163.1 BL00974
ortholog_10 MGL01561.1 BL23827
ortholog_11 MGL00100.1 BL00975
ortholog_12 MGL00317.1 BL00976
ortholog_13 MGL00427.1 BL00977
ortholog_14 MGL00475.1 BL00979
ortholog_15 MGL00534.1 BL01535
ortholog_16 MGL00589.1 BL01534
ortholog_17 MGL00647.1 BL01533
ortholog_18 MGL00789.1 BL00446
ortholog_19 MGL00836.1 BL12897
ortholog_20 MGL01373.1 BL11554
ortholog_21 MGL00951.1 BL00849
ortholog_22 MGL00999.1 BL11555
ortholog_23 MGL01158.1 BL01547
ortholog_24 MGL00099.1 BL01546
ortholog_25 MGL01450.1 BL01545
ortholog_26 MGL01488.1 BL01231
ortholog_27 MGL00484.1 BL01013
ortholog_28 MGL00438.1 BL01012
ortholog_29 MGL00277.1 BL01617
ortholog_30 MGL00172.1 BL01540
ortholog_31 MGL00120.1 BL01709
ortholog_32 MGL01596.1 BL01689
ortholog_33 MGL01544.1 BL01487
ortholog_34 MGL01500.1 BL01483
ortholog_35 MGL01355.1 BL00078
ortholog_36 MGL01323.1 BL01136
ortholog_37 MGL01613.1 BL05477
ortholog_38 MGL00844.1 BL21671
ortholog_39 MGL00601.1 BL01896
ortholog_40 MGL00483.1 BL00705
ortholog_41 MGL00226.1 BL01834
ortholog_42 MGL00568.1 BL01753
ortholog_43 MGL00501.1 BL00896
ortholog_44 MGL00451.1 BL01958
ortholog_45 MGL00417.1 BL00898
ortholog_46 MGL00348.1 BL01663
ortholog_47 MGL00246.1 BL01661
ortholog_48 MGL00190.1 BL01667
ortholog_49 MGL01035.1 BL01668
ortholog_50 MGL00042.1 BL01357
ortholog_51 MGL01615.1 BL01099
ortholog_52 MGL00626.1 BL01219
ortholog_53 MGL00826.1 BL00624
ortholog_54 MGL00780.1 BL00625
