ortholog_1 SCH01409.1 BL15770
ortholog_2 SCH00553.1 BL06714
ortholog_3 SCH00182.1 BL02881
ortholog_4 SCH01487.1 BL14347
ortholog_5 SCH01110.1 BL13564
ortholog_6 SCH00257.1 BL22901
ortholog_7 SCH00048.1 BL20992
ortholog_8 SCH00986.1 BL10132
ortholog_9 SCH00321.1 BL04812
ortholog_10 SCH00577.1 BL26647
ortholog_11 SCH00126.1 BL13206
ortholog_12 SCH00436.1 BL03962
ortholog_13 SCH00392.1 BL19592
ortholog_14 SCH01211.1 BL03093
ortholog_15 SCH00916.1 BL24693
ortholog_16 SCH01267.1 BL27161
ortholog_17 SCH01363.1 BL20243
ortholog_18 SCH00790.1 BL17919
ortholog_19 SCH01467.1 BL11910
ortholog_20 SCH00894.1 BL27217
ortholog_21 SCH00259.1 BL12809
ortholog_22 SCH00715.1 BL08711
ortholog_23 SCH00439.1 BL26327
ortholog_24 SCH01090.1 BL16669
ortholog_25 SCH00966.1 BL10117
ortholog_26 SCH01145.1 BL25742
ortholog_27 SCH01469.1 BL00630
ortholog_28 SCH00871.1 BL28116
ortholog_29 SCH01436.1 BL23335
ortholog_30 SCH00334.1 BL22613
ortholog_31 SCH01352.1 BL15731
ortholog_32 SCH00278.1 BL10578
ortholog_33 SCH00178.1 BL15011
ortholog_34 SCH00098.1 BL00151
ortholog_35 SCH00123.1 BL04902
ortholog_36 SCH00931.1 BL24108
ortholog_37 SCH00649.1 BL16436
ortholog_38 SCH01486.1 BL08539
ortholog_39 SCH00069.1 BL20245
ortholog_40 SCH00016.1 BL26963
ortholog_41 SCH00181.1 BL15942
ortholog_42 SCH00988.1 BL02546
ortholog_43 SCH00738.1 BL05309
ortholog_44 SCH00463.1 BL12719
ortholog_45 SCH00051.1 BL15519
ortholog_46 SCH00615.1 BL09758
ortholog_47 SCH00516.1 BL17555
ortholog_48 SCH00955.1 BL17866
ortholog_49 SCH00320.1 BL18684
ortholog_50 SCH00789.1 BL27752
ortholog_51 SCH00963.1 BL27755
ortholog_52 SCH01019.1 BL11868
ortholog_53 SCH00305.1 BL11551
ortholog_54 SCH00014.1 BL17720
ortholog_55 SCH01137.1 BL12731
ortholog_56 SCH00432.1 BL06552
ortholog_57 SCH00244.1 BL09021
ortholog_58 SCH01041.1 BL06078
ortholog_59 SCH00753.1 BL23014
ortholog_60 SCH01204.1 BL11112
ortholog_61 SCH00893.1 BL22453
ortholog_62 SCH00380.1 BL19197
ortholog_63 SCH01216.1 BL14991
ortholog_64 SCH01119.1 BL05580
ortholog_65 SCH00936.1 BL02903
ortholog_66 SCH01366.1 BL16819
ortholog_67 SCH00155.1 BL20776
ortholog_68 SCH01023.1 BL08625
ortholog_69 SCH00036.1 BL03932
ortholog_70 SCH00831.1 BL07898
ortholog_71 SCH00412.1 BL01414
ortholog_72 SCH01258.1 BL11425
ortholog_73 SCH01490.1 BL21189
ortholog_74 SCH00342.1 BL11227
ortholog_75 SCH01130.1 BL21769
ortholog_76 SCH01177.1 BL10576
ortholog_77 SCH00643.1 BL11420
ortholog_78 SCH00500.1 BL02839
ortholog_79 SCH01286.1 BL25809
ortholog_80 SCH00394.1 BL17211
ortholog_81 SCH00499.1 BL15746
ortholog_82 SCH00545.1 BL06022
ortholog_83 SCH00381.1 BL17047
ortholog_84 SCH00881.1 BL03787
ortholog_85 SCH00423.1 BL15624
ortholog_86 SCH00709.1 BL23803
ortholog_87 SCH00291.1 BL13313
ortholog_88 SCH00240.1 BL23746
ortholog_89 SCH00137.1 BL20242
ortholog_90 SCH00083.1 BL20998
ortholog_91 SCH00374.1 BL13085
ortholog_92 SCH01215.1 BL15581
ortholog_93 SCH00760.1 BL18394
ortholog_94 SCH01085.1 BL07367
ortholog_95 SCH00824.1 BL15335
ortholog_96 SCH00513.1 BL00847
ortholog_97 SCH01483.1 BL18778
ortholog_98 SCH00313.1 BL05545
ortholog_99 SCH00373.1 BL23568
ortholog_100 SCH00566.1 BL08385
ortholog_101 SCH00780.1 BL08329
ortholog_102 SCH00072.1 BL13905
ortholog_103 SCH00383.1 BL16590
ortholog_104 SCH01060.1 BL21981
ortholog_105 SCH00449.1 BL09722
ortholog_106 SCH01067.1 BL08891
ortholog_107 SCH00238.1 BL27760
ortholog_108 SCH01012.1 BL25907
ortholog_109 SCH00660.1 BL13755
ortholog_110 SCH00403.1 BL22491
ortholog_111 SCH00351.1 BL22761
ortholog_112 SCH00848.1 BL20311
ortholog_113 SCH00318.1 BL01367
ortholog_114 SCH00054.1 BL04197
ortholog_115 SCH00214.1 BL05067
ortholog_116 SCH00285.1 BL05125
ortholog_117 SCH00018.1 BL13673
ortholog_118 SCH00557.1 BL07934
ortholog_119 SCH00138.1 BL03548
ortholog_120 SCH00455.1 BL05411
ortholog_121 SCH00764.1 BL15213
ortholog_122 SCH01398.1 BL22791
ortholog_123 SCH01503.1 BL20181
ortholog_124 SCH01146.1 BL15542
ortholog_125 SCH00943.1 BL16776
ortholog_126 SCH00311.1 BL16777
ortholog_127 SCH00071.1 BL24312
ortholog_128 SCH00125.1 BL25451
ortholog_129 SCH01303.1 BL15565
ortholog_130 SCH01420.1 BL04337
ortholog_131 SCH01088.1 BL22184
ortholog_132 SCH01132.1 BL06612
ortholog_133 SCH00852.1 BL23389
ortholog_134 SCH00900.1 BL17099
ortholog_135 SCH00992.1 BL16697
ortholog_136 SCH00413.1 BL18362
ortholog_137 SCH00197.1 BL14546
ortholog_138 SCH00092.1 BL14553
ortholog_139 SCH01488.1 BL23696
ortholog_140 SCH01173.1 BL11381
ortholog_141 SCH00630.1 BL26809
ortholog_142 SCH00908.1 BL03162
ortholog_143 SCH01065.1 BL23589
ortholog_144 SCH00712.1 BL06073
ortholog_145 SCH00633.1 BL14507
ortholog_146 SCH01253.1 BL25122
ortholog_147 SCH00045.1 BL24477
ortholog_148 SCH00730.1 BL27853
ortholog_149 SCH01061.1 BL20623
ortholog_150 SCH00093.1 BL22295
ortholog_151 SCH01207.1 BL15573
ortholog_152 SCH00834.1 BL21633
ortholog_153 SCH00905.1 BL25634
ortholog_154 SCH01445.1 BL10240
ortholog_155 SCH01481.1 BL24474
ortholog_156 SCH00253.1 BL24986
ortholog_157 SCH00315.1 BL23301
ortholog_158 SCH00756.1 BL12264
ortholog_159 SCH00571.1 BL05885
ortholog_160 SCH00618.1 BL20200
ortholog_161 SCH00015.1 BL14945
ortholog_162 SCH00625.1 BL02161
ortholog_163 SCH01039.1 BL25200
ortholog_164 SCH01009.1 BL00953
ortholog_165 SCH00906.1 BL15941
ortholog_166 SCH00772.1 BL01459
ortholog_167 SCH00984.1 BL14576
ortholog_168 SCH00928.1 BL26560
ortholog_169 SCH01018.1 BL24559
ortholog_170 SCH01256.1 BL18925
ortholog_171 SCH00142.1 BL08346
ortholog_172 SCH01048.1 BL07104
ortholog_173 SCH00610.1 BL07334
ortholog_174 SCH00960.1 BL14221
ortholog_175 SCH00505.1 BL02407
ortholog_176 SCH00431.1 BL01929
ortholog_177 SCH01140.1 BL25452
ortholog_178 SCH01479.1 BL15650
ortholog_179 SCH00729.1 BL23365
ortholog_180 SCH00666.1 BL02067
ortholog_181 SCH00170.1 BL02068
ortholog_182 SCH01133.1 BL21936
ortholog_183 SCH01477.1 BL09383
ortholog_184 SCH01180.1 BL02592
ortholog_185 SCH00501.1 BL04116
ortholog_186 SCH01478.1 BL20023
ortholog_187 SCH00785.1 BL04235
ortholog_188 SCH01209.1 BL22277
ortholog_189 SCH01040.1 BL12704
ortholog_190 SCH01460.1 BL16343
ortholog_191 SCH00109.1 BL11550
ortholog_192 SCH00034.1 BL11548
ortholog_193 SCH00335.1 BL07724
ortholog_194 SCH00567.1 BL22705
ortholog_195 SCH00108.1 BL22185
ortholog_196 SCH01294.1 BL00968
ortholog_197 SCH01245.1 BL19949
ortholog_198 SCH00294.1 BL19259
ortholog_199 SCH00771.1 BL05366
ortholog_200 SCH00389.1 BL20803
ortholog_201 SCH00056.1 BL10573
ortholog_202 SCH00267.1 BL04757
ortholog_203 SCH00862.1 BL13402
ortholog_204 SCH01351.1 BL04702
ortholog_205 SCH00160.1 BL22552
ortholog_206 SCH01051.1 BL25899
ortholog_207 SCH01433.1 BL20113
ortholog_208 SCH01237.1 BL12518
ortholog_209 SCH00539.1 BL06352
ortholog_210 SCH01451.1 BL10656
ortholog_211 SCH00493.1 BL26837
ortholog_212 SCH01495.1 BL05726
ortholog_213 SCH01252.1 BL17675
ortholog_214 SCH00700.1 BL11205
ortholog_215 SCH01521.1 BL07221
ortholog_216 SCH01523.1 BL22339
ortholog_217 SCH01527.1 BL09070
ortholog_218 SCH01603.1 BL15910
ortholog_219 SCH01618.1 BL07716
ortholog_220 SCH01683.1 BL06879
ortholog_221 SCH01919.1 BL06878
ortholog_222 SCH01539.1 BL07074
ortholog_223 SCH01831.1 BL21000
ortholog_224 SCH01760.1 BL07693
ortholog_225 SCH01746.1 BL07639
ortholog_226 SCH01584.1 BL03453
ortholog_227 SCH01568.1 BL07660
ortholog_228 SCH01881.1 BL01623
ortholog_229 SCH01819.1 BL07330
ortholog_230 SCH01828.1 BL07073
ortholog_231 SCH01738.1 BL25344
ortholog_232 SCH01885.1 BL07243
ortholog_233 SCH01809.1 BL20592
ortholog_234 SCH01620.1 BL20593
ortholog_235 SCH01602.1 BL07578
ortholog_236 SCH01768.1 BL03459
ortholog_237 SCH01733.1 BL06955
ortholog_238 SCH01681.1 BL07755
ortholog_239 SCH01870.1 BL06314
ortholog_240 SCH01771.1 BL21240
ortholog_241 SCH01684.1 BL07722
ortholog_242 SCH01787.1 BL03463
ortholog_243 SCH01896.1 BL24346
ortholog_244 SCH01887.1 BL14759
ortholog_245 SCH01799.1 BL07684
ortholog_246 SCH01739.1 BL14836
ortholog_247 SCH01610.1 BL07079
ortholog_248 SCH01949.1 BL07409
ortholog_249 SCH01717.1 BL08834
ortholog_250 SCH01907.1 BL07705
ortholog_251 SCH01687.1 BL07668
ortholog_252 SCH01632.1 BL07606
ortholog_253 SCH01801.1 BL06946
ortholog_254 SCH01654.1 BL25343
ortholog_255 SCH01545.1 BL13578
ortholog_256 SCH01797.1 BL06919
ortholog_257 SCH01780.1 BL07718
ortholog_258 SCH01708.1 BL07573
ortholog_259 SCH01591.1 BL14005
ortholog_260 SCH01955.1 BL18563
ortholog_261 SCH01770.1 BL07239
ortholog_262 SCH01812.1 BL07647
ortholog_263 SCH01712.1 BL02887
ortholog_264 SCH01703.1 BL06979
ortholog_265 SCH01749.1 BL17439
ortholog_266 SCH01928.1 BL15883
ortholog_267 SCH01911.1 BL07704
ortholog_268 SCH01666.1 BL07621
ortholog_269 SCH01700.1 BL15912
ortholog_270 SCH01606.1 BL14468
ortholog_271 SCH01863.1 BL21829
ortholog_272 SCH01682.1 BL11308
ortholog_273 SCH01791.1 BL06935
ortholog_274 SCH01883.1 BL03458
ortholog_275 SCH01713.1 BL15431
ortholog_276 SCH01766.1 BL03310
ortholog_277 SCH01931.1 BL11282
ortholog_278 SCH01842.1 BL06071
ortholog_279 SCH01763.1 BL18593
ortholog_280 SCH01946.1 BL07172
ortholog_281 SCH01914.1 BL07333
ortholog_282 SCH01924.1 BL10812
ortholog_283 SCH01622.1 BL16559
ortholog_284 SCH01635.1 BL21100
ortholog_285 SCH01549.1 BL07721
ortholog_286 SCH01888.1 BL25356
ortholog_287 SCH01912.1 BL07641
ortholog_288 SCH01723.1 BL07070
ortholog_289 SCH01680.1 BL15915
ortholog_290 SCH01615.1 BL06933
ortholog_291 SCH01613.1 BL07069
ortholog_292 SCH01754.1 BL06975
ortholog_293 SCH01677.1 BL27093
ortholog_294 SCH01786.1 BL15892
ortholog_295 SCH01743.1 BL15891
ortholog_296 SCH01918.1 BL06854
ortholog_297 SCH01884.1 BL24576
ortholog_298 SCH01679.1 BL07735
ortholog_299 SCH01652.1 BL06872
ortholog_300 SCH01561.1 BL21237
ortholog_301 SCH01824.1 BL25327
ortholog_302 SCH01758.1 BL10056
ortholog_303 SCH01675.1 BL27909
ortholog_304 SCH01832.1 BL25331
ortholog_305 SCH01609.1 BL07697
ortholog_306 SCH01657.1 BL07624
ortholog_307 SCH01781.1 BL07633
