ortholog_1 SCH00647.1 g59284
ortholog_2 SCH01369.1 g3859
ortholog_3 SCH00421.1 g30778
ortholog_4 SCH01165.1 g126612
ortholog_5 SCH01071.1 g43642
ortholog_6 SCH01332.1 g15929
ortholog_7 SCH00260.1 g183942
ortholog_8 SCH00813.1 g51912
ortholog_9 SCH00444.1 g109754
ortholog_10 SCH00972.1 g201655
ortholog_11 SCH01416.1 g145372
ortholog_12 SCH00974.1 g203692
ortholog_13 SCH00488.1 g196572
ortholog_14 SCH01087.1 g4395
ortholog_15 SCH01046.1 g531
ortholog_16 SCH01474.1 g201819
ortholog_17 SCH00973.1 g147450
ortholog_18 SCH00884.1 g126460
ortholog_19 SCH00999.1 g66421
ortholog_20 SCH00944.1 g102677
ortholog_21 SCH00815.1 g24239
ortholog_22 SCH01116.1 g41331
ortholog_23 SCH00436.1 g149883
ortholog_24 SCH00728.1 g215373
ortholog_25 SCH01361.1 g57058
ortholog_26 SCH00258.1 g18457
ortholog_27 SCH00392.1 g98665
ortholog_28 SCH00486.1 g54872
ortholog_29 SCH00448.1 g62808
ortholog_30 SCH01493.1 g115279
ortholog_31 SCH00825.1 g196249
ortholog_32 SCH00916.1 g54747
ortholog_33 SCH00616.1 g141038
ortholog_34 SCH00084.1 g115562
ortholog_35 SCH00528.1 g41508
ortholog_36 SCH00153.1 g150691
ortholog_37 SCH00251.1 g27090
ortholog_38 SCH00482.1 g65865
ortholog_39 SCH00065.1 g109536
ortholog_40 SCH00924.1 g175172
ortholog_41 SCH00241.1 g54552
ortholog_42 SCH01502.1 g42524
ortholog_43 SCH00894.1 g215394
ortholog_44 SCH00711.1 g49000
ortholog_45 SCH00333.1 g78073
ortholog_46 SCH01201.1 g95382
ortholog_47 SCH00259.1 g657
ortholog_48 SCH00935.1 g48028
ortholog_49 SCH01494.1 g96437
ortholog_50 SCH00004.1 g166914
ortholog_51 SCH00103.1 g87328
ortholog_52 SCH01090.1 g151306
ortholog_53 SCH00966.1 g149890
ortholog_54 SCH01145.1 g170229
ortholog_55 SCH00198.1 g148490
ortholog_56 SCH01469.1 g145881
ortholog_57 SCH00814.1 g212009
ortholog_58 SCH00940.1 g170685
ortholog_59 SCH01436.1 g73183
ortholog_60 SCH00390.1 g211933
ortholog_61 SCH00323.1 g211518
ortholog_62 SCH00334.1 g145179
ortholog_63 SCH01352.1 g145196
ortholog_64 SCH00278.1 g146241
ortholog_65 SCH00178.1 g143530
ortholog_66 SCH00931.1 g145863
ortholog_67 SCH00697.1 g149526
ortholog_68 SCH00649.1 g165289
ortholog_69 SCH00745.1 g143217
ortholog_70 SCH00337.1 g147543
ortholog_71 SCH00775.1 g149077
ortholog_72 SCH00069.1 g148456
ortholog_73 SCH00016.1 g145538
ortholog_74 SCH00988.1 g144108
ortholog_75 SCH00738.1 g152176
ortholog_76 SCH00051.1 g148117
ortholog_77 SCH00223.1 g148118
ortholog_78 SCH00206.1 g75470
ortholog_79 SCH00615.1 g132098
ortholog_80 SCH00087.1 g178779
ortholog_81 SCH00516.1 g146889
ortholog_82 SCH00200.1 g53738
ortholog_83 SCH00955.1 g148166
ortholog_84 SCH00489.1 g152371
ortholog_85 SCH00320.1 g152198
ortholog_86 SCH00789.1 g152200
ortholog_87 SCH00963.1 g148899
ortholog_88 SCH00014.1 g151116
ortholog_89 SCH01137.1 g145667
ortholog_90 SCH01234.1 g145673
ortholog_91 SCH00432.1 g150119
ortholog_92 SCH00244.1 g144651
ortholog_93 SCH01216.1 g148467
ortholog_94 SCH00060.1 g38057
ortholog_95 SCH00743.1 g78712
ortholog_96 SCH00936.1 g147060
ortholog_97 SCH01323.1 g142754
ortholog_98 SCH00652.1 g142739
ortholog_99 SCH00831.1 g151144
ortholog_100 SCH00412.1 g151164
ortholog_101 SCH01258.1 g152186
ortholog_102 SCH01490.1 g146821
ortholog_103 SCH00342.1 g149928
ortholog_104 SCH01130.1 g107463
ortholog_105 SCH00643.1 g97032
ortholog_106 SCH00500.1 g149826
ortholog_107 SCH01286.1 g152147
ortholog_108 SCH01281.1 g149682
ortholog_109 SCH00864.1 g148719
ortholog_110 SCH00394.1 g143293
ortholog_111 SCH00499.1 g146914
ortholog_112 SCH00545.1 g144594
ortholog_113 SCH00381.1 g150513
ortholog_114 SCH00445.1 g205924
ortholog_115 SCH01414.1 g33955
ortholog_116 SCH00423.1 g152283
ortholog_117 SCH00709.1 g148460
ortholog_118 SCH00291.1 g145612
ortholog_119 SCH00240.1 g145615
ortholog_120 SCH00137.1 g148453
ortholog_121 SCH00083.1 g145676
ortholog_122 SCH00717.1 g64694
ortholog_123 SCH00165.1 g214432
ortholog_124 SCH01085.1 g145210
ortholog_125 SCH01483.1 g150283
ortholog_126 SCH01059.1 g198376
ortholog_127 SCH00373.1 g148146
ortholog_128 SCH00566.1 g145661
ortholog_129 SCH00073.1 g148811
ortholog_130 SCH00551.1 g142761
ortholog_131 SCH01344.1 g53230
ortholog_132 SCH00383.1 g148176
ortholog_133 SCH00891.1 g207879
ortholog_134 SCH01448.1 g143197
ortholog_135 SCH00914.1 g15144
ortholog_136 SCH01060.1 g199803
ortholog_137 SCH01189.1 g207878
ortholog_138 SCH01388.1 g142737
ortholog_139 SCH01346.1 g175949
ortholog_140 SCH01032.1 g148305
ortholog_141 SCH00844.1 g202195
ortholog_142 SCH01012.1 g149399
ortholog_143 SCH01218.1 g149397
ortholog_144 SCH01169.1 g151491
ortholog_145 SCH00255.1 g120821
ortholog_146 SCH00619.1 g149877
ortholog_147 SCH00660.1 g145701
ortholog_148 SCH00104.1 g161745
ortholog_149 SCH01316.1 g41399
ortholog_150 SCH00351.1 g206141
ortholog_151 SCH00848.1 g147801
ortholog_152 SCH00887.1 g151102
ortholog_153 SCH00318.1 g150362
ortholog_154 SCH00054.1 g134541
ortholog_155 SCH00214.1 g144458
ortholog_156 SCH00285.1 g149871
ortholog_157 SCH00438.1 g149858
ortholog_158 SCH00362.1 g49156
ortholog_159 SCH00455.1 g147953
ortholog_160 SCH00764.1 g146240
ortholog_161 SCH01398.1 g112901
ortholog_162 SCH01503.1 g146743
ortholog_163 SCH01146.1 g147098
ortholog_164 SCH00311.1 g150031
ortholog_165 SCH00231.1 g143205
ortholog_166 SCH00125.1 g143216
ortholog_167 SCH01434.1 g65989
ortholog_168 SCH01420.1 g208501
ortholog_169 SCH01088.1 g150122
ortholog_170 SCH00852.1 g81566
ortholog_171 SCH00900.1 g151301
ortholog_172 SCH00686.1 g147425
ortholog_173 SCH00992.1 g147427
ortholog_174 SCH00869.1 g127832
ortholog_175 SCH00413.1 g150364
ortholog_176 SCH01404.1 g105445
ortholog_177 SCH01173.1 g151420
ortholog_178 SCH00908.1 g143678
ortholog_179 SCH01065.1 g151876
ortholog_180 SCH00712.1 g193842
ortholog_181 SCH00633.1 g144115
ortholog_182 SCH01253.1 g144890
ortholog_183 SCH00045.1 g147641
ortholog_184 SCH00883.1 g45944
ortholog_185 SCH00199.1 g91419
ortholog_186 SCH00730.1 g144810
ortholog_187 SCH01207.1 g143806
ortholog_188 SCH00673.1 g148106
ortholog_189 SCH01445.1 g162979
ortholog_190 SCH01159.1 g40316
ortholog_191 SCH00466.1 g178333
ortholog_192 SCH00349.1 g198529
ortholog_193 SCH00552.1 g46680
ortholog_194 SCH00648.1 g47516
ortholog_195 SCH00163.1 g139361
ortholog_196 SCH01482.1 g163014
ortholog_197 SCH00702.1 g196359
ortholog_198 SCH01394.1 g73668
ortholog_199 SCH00208.1 g32883
ortholog_200 SCH00185.1 g40730
ortholog_201 SCH01075.1 g24809
ortholog_202 SCH00447.1 g211384
ortholog_203 SCH00407.1 g72970
ortholog_204 SCH00015.1 g59670
ortholog_205 SCH00625.1 g145856
ortholog_206 SCH00443.1 g151887
ortholog_207 SCH00586.1 g148833
ortholog_208 SCH01039.1 g150368
ortholog_209 SCH01009.1 g150946
ortholog_210 SCH00856.1 g150953
ortholog_211 SCH00906.1 g143222
ortholog_212 SCH00982.1 g59397
ortholog_213 SCH01121.1 g84141
ortholog_214 SCH00772.1 g149023
ortholog_215 SCH00984.1 g208242
ortholog_216 SCH00928.1 g147441
ortholog_217 SCH01018.1 g150885
ortholog_218 SCH01048.1 g143638
ortholog_219 SCH00610.1 g144371
ortholog_220 SCH00960.1 g146823
ortholog_221 SCH00505.1 g150381
ortholog_222 SCH00431.1 g144087
ortholog_223 SCH01479.1 g144584
ortholog_224 SCH00729.1 g143558
ortholog_225 SCH01160.1 g133073
ortholog_226 SCH00666.1 g144881
ortholog_227 SCH00170.1 g144811
ortholog_228 SCH00993.1 g188497
ortholog_229 SCH01133.1 g15070
ortholog_230 SCH00501.1 g145607
ortholog_231 SCH01478.1 g152297
ortholog_232 SCH00785.1 g147818
ortholog_233 SCH01209.1 g143034
ortholog_234 SCH01460.1 g138260
ortholog_235 SCH00109.1 g147809
ortholog_236 SCH00335.1 g147417
ortholog_237 SCH00567.1 g149085
ortholog_238 SCH00108.1 g148275
ortholog_239 SCH01294.1 g146728
ortholog_240 SCH00496.1 g149932
ortholog_241 SCH00462.1 g142950
ortholog_242 SCH00294.1 g152059
ortholog_243 SCH00389.1 g108104
ortholog_244 SCH00267.1 g150379
ortholog_245 SCH00807.1 g146755
ortholog_246 SCH00922.1 g146326
ortholog_247 SCH01051.1 g150506
ortholog_248 SCH01433.1 g137652
ortholog_249 SCH01237.1 g159528
ortholog_250 SCH01333.1 g37112
ortholog_251 SCH01451.1 g152333
ortholog_252 SCH00460.1 g143304
ortholog_253 SCH00493.1 g96190
ortholog_254 SCH01495.1 g150842
ortholog_255 SCH01252.1 g146211
ortholog_256 SCH01507.1 g56442
ortholog_257 SCH01527.1 g50218
ortholog_258 SCH01536.1 g16406
ortholog_259 SCH01603.1 g74083
ortholog_260 SCH01618.1 g72636
ortholog_261 SCH01683.1 g72123
ortholog_262 SCH01919.1 g69767
ortholog_263 SCH01539.1 g74642
ortholog_264 SCH01923.1 g203484
ortholog_265 SCH01915.1 g49089
ortholog_266 SCH01760.1 g74154
ortholog_267 SCH01746.1 g73794
ortholog_268 SCH01722.1 g177816
ortholog_269 SCH01644.1 g120675
ortholog_270 SCH01956.1 g40574
ortholog_271 SCH01819.1 g76104
ortholog_272 SCH01634.1 g76096
ortholog_273 SCH01658.1 g23575
ortholog_274 SCH01828.1 g73549
ortholog_275 SCH01738.1 g73802
ortholog_276 SCH01885.1 g69272
ortholog_277 SCH01620.1 g67809
ortholog_278 SCH01602.1 g75506
ortholog_279 SCH01686.1 g72974
ortholog_280 SCH01848.1 g71547
ortholog_281 SCH01733.1 g72273
ortholog_282 SCH01681.1 g70117
ortholog_283 SCH01870.1 g69983
ortholog_284 SCH01815.1 g115327
ortholog_285 SCH01851.1 g130199
ortholog_286 SCH01619.1 g130200
ortholog_287 SCH01787.1 g200864
ortholog_288 SCH01896.1 g120345
ortholog_289 SCH01607.1 g33019
ortholog_290 SCH01799.1 g93014
ortholog_291 SCH01636.1 g138473
ortholog_292 SCH01610.1 g71138
ortholog_293 SCH01893.1 g76070
ortholog_294 SCH01949.1 g78290
ortholog_295 SCH01640.1 g39643
ortholog_296 SCH01557.1 g50423
ortholog_297 SCH01585.1 g157816
ortholog_298 SCH01687.1 g74944
ortholog_299 SCH01772.1 g74608
ortholog_300 SCH01632.1 g74617
ortholog_301 SCH01801.1 g69029
ortholog_302 SCH01844.1 g69036
ortholog_303 SCH01654.1 g73804
ortholog_304 SCH01667.1 g74093
ortholog_305 SCH01866.1 g67745
ortholog_306 SCH01820.1 g74728
ortholog_307 SCH01810.1 g71119
ortholog_308 SCH01780.1 g76863
ortholog_309 SCH01599.1 g27839
ortholog_310 SCH01708.1 g73956
ortholog_311 SCH01755.1 g74641
ortholog_312 SCH01742.1 g67780
ortholog_313 SCH01591.1 g207249
ortholog_314 SCH01955.1 g132426
ortholog_315 SCH01770.1 g72584
ortholog_316 SCH01734.1 g75430
ortholog_317 SCH01812.1 g75426
ortholog_318 SCH01712.1 g70628
ortholog_319 SCH01703.1 g72136
ortholog_320 SCH01676.1 g73450
ortholog_321 SCH01666.1 g72698
ortholog_322 SCH01700.1 g67895
ortholog_323 SCH01839.1 g69432
ortholog_324 SCH01791.1 g72004
ortholog_325 SCH01883.1 g71540
ortholog_326 SCH01713.1 g66203
ortholog_327 SCH01765.1 g70326
ortholog_328 SCH01625.1 g163017
ortholog_329 SCH01931.1 g67902
ortholog_330 SCH01763.1 g185805
ortholog_331 SCH01856.1 g106328
ortholog_332 SCH01648.1 g186332
ortholog_333 SCH01944.1 g70141
ortholog_334 SCH01660.1 g128396
ortholog_335 SCH01903.1 g73083
ortholog_336 SCH01914.1 g161862
ortholog_337 SCH01622.1 g148332
ortholog_338 SCH01549.1 g76248
ortholog_339 SCH01938.1 g76255
ortholog_340 SCH01629.1 g75942
ortholog_341 SCH01899.1 g110925
ortholog_342 SCH01912.1 g76522
ortholog_343 SCH01723.1 g71233
ortholog_344 SCH01731.1 g74630
ortholog_345 SCH01752.1 g74628
ortholog_346 SCH01615.1 g71631
ortholog_347 SCH01613.1 g73945
ortholog_348 SCH01800.1 g77922
ortholog_349 SCH01754.1 g74243
ortholog_350 SCH01753.1 g2216
ortholog_351 SCH01548.1 g163012
ortholog_352 SCH01786.1 g75510
ortholog_353 SCH01743.1 g69864
ortholog_354 SCH01918.1 g75740
ortholog_355 SCH01552.1 g90308
ortholog_356 SCH01884.1 g80170
ortholog_357 SCH01679.1 g74447
ortholog_358 SCH01652.1 g73870
ortholog_359 SCH01561.1 g133952
ortholog_360 SCH01824.1 g75569
ortholog_361 SCH01675.1 g120674
ortholog_362 SCH01832.1 g70348
ortholog_363 SCH01583.1 g70350
ortholog_364 SCH01609.1 g76272
ortholog_365 SCH01657.1 g72709
ortholog_366 SCH01781.1 g70302
ortholog_367 SCH01611.1 g70208
ortholog_368 SCH01794.1 g76112
ortholog_369 SCH01617.1 g76546
ortholog_370 SCH01830.1 g74966
ortholog_371 SCH01862.1 g70703
ortholog_372 SCH01942.1 g73886
ortholog_373 SCH01814.1 g70941
ortholog_374 SCH01940.1 g73981
ortholog_375 SCH01750.1 g71060
ortholog_376 SCH01593.1 g75941
ortholog_377 SCH01560.1 g30629
ortholog_378 SCH01964.1 g138217
ortholog_379 SCH01589.1 g19636
ortholog_380 SCH01685.1 g88354
ortholog_381 SCH01837.1 g77800
ortholog_382 SCH01857.1 g77807
ortholog_383 SCH01728.1 g74986
ortholog_384 SCH01876.1 g73771
ortholog_385 SCH01715.1 g68789
ortholog_386 SCH01855.1 g68196
ortholog_387 SCH01759.1 g68013
ortholog_388 SCH01762.1 g71492
ortholog_389 SCH01785.1 g72712
ortholog_390 SCH01578.1 g1264
ortholog_391 SCH01798.1 g69208
ortholog_392 SCH01976.1 g18983
ortholog_393 SCH01878.1 g68510
ortholog_394 SCH01853.1 g28741
ortholog_395 SCH01840.1 g68500
