ortholog_1 g178 gene-HOLleu_44920
ortholog_2 g320 gene-HOLleu_32428
ortholog_3 g378 gene-HOLleu_09315
ortholog_4 g408 gene-HOLleu_14839
ortholog_5 g409 gene-HOLleu_03529
ortholog_6 g500 gene-HOLleu_26495
ortholog_7 g529 gene-HOLleu_42498
ortholog_8 g699 gene-HOLleu_05938
ortholog_9 g744 gene-HOLleu_35247
ortholog_10 g844 gene-HOLleu_18591
ortholog_11 g871 gene-HOLleu_22400
ortholog_12 g943 gene-HOLleu_10318
ortholog_13 g985 gene-HOLleu_12769
ortholog_14 g1054 gene-HOLleu_13103
ortholog_15 g1101 gene-HOLleu_16433
ortholog_16 g1105 gene-HOLleu_13404
ortholog_17 g1115 gene-HOLleu_12663
ortholog_18 g1149 gene-HOLleu_12156
ortholog_19 g1169 gene-HOLleu_32491
ortholog_20 g1205 gene-HOLleu_12586
ortholog_21 g1209 gene-HOLleu_09096
ortholog_22 g1443 gene-HOLleu_24152
ortholog_23 g1451 gene-HOLleu_24081
ortholog_24 g1475 gene-HOLleu_24266
ortholog_25 g1537 gene-HOLleu_23285
ortholog_26 g1590 gene-HOLleu_00001
ortholog_27 g1630 gene-HOLleu_10078
ortholog_28 g1660 gene-HOLleu_03871
ortholog_29 g1727 gene-HOLleu_09740
ortholog_30 g1734 gene-HOLleu_43543
ortholog_31 g1786 gene-HOLleu_26750
ortholog_32 g1809 gene-HOLleu_11485
ortholog_33 g1816 gene-HOLleu_11486
ortholog_34 g1853 gene-HOLleu_10663
ortholog_35 g1970 gene-HOLleu_09772
ortholog_36 g1993 gene-HOLleu_10130
ortholog_37 g2008 gene-HOLleu_09861
ortholog_38 g2010 gene-HOLleu_11023
ortholog_39 g2013 gene-HOLleu_10434
ortholog_40 g2022 gene-HOLleu_45112
ortholog_41 g2026 gene-HOLleu_11577
ortholog_42 g2029 gene-HOLleu_10648
ortholog_43 g2097 gene-HOLleu_10185
ortholog_44 g2110 gene-HOLleu_13588
ortholog_45 g2195 gene-HOLleu_03264
ortholog_46 g2273 gene-HOLleu_09409
ortholog_47 g2277 gene-HOLleu_09415
ortholog_48 g2284 gene-HOLleu_09410
ortholog_49 g2310 gene-HOLleu_32496
ortholog_50 g2424 gene-HOLleu_11609
ortholog_51 g2467 gene-HOLleu_43447
ortholog_52 g2501 gene-HOLleu_10510
ortholog_53 g2503 gene-HOLleu_11649
ortholog_54 g2509 gene-HOLleu_02653
ortholog_55 g2520 gene-HOLleu_11647
ortholog_56 g2548 gene-HOLleu_09422
ortholog_57 g2683 gene-HOLleu_23861
ortholog_58 g2733 gene-HOLleu_10925
ortholog_59 g2791 gene-HOLleu_41043
ortholog_60 g2808 gene-HOLleu_10002
ortholog_61 g2822 gene-HOLleu_10994
ortholog_62 g2839 gene-HOLleu_15632
ortholog_63 g2880 gene-HOLleu_39261
ortholog_64 g2885 gene-HOLleu_09449
ortholog_65 g2898 gene-HOLleu_11674
ortholog_66 g2957 gene-HOLleu_12023
ortholog_67 g3016 gene-HOLleu_13421
ortholog_68 g3069 gene-HOLleu_09512
ortholog_69 g3072 gene-HOLleu_09638
ortholog_70 g3090 gene-HOLleu_09992
ortholog_71 g3141 gene-HOLleu_11709
ortholog_72 g3203 gene-HOLleu_04826
ortholog_73 g3258 gene-HOLleu_11586
ortholog_74 g3265 gene-HOLleu_09606
ortholog_75 g3268 gene-HOLleu_10079
ortholog_76 g3275 gene-HOLleu_11084
ortholog_77 g3288 gene-HOLleu_32912
ortholog_78 g3352 gene-HOLleu_20087
ortholog_79 g3382 gene-HOLleu_09620
ortholog_80 g3424 gene-HOLleu_11283
ortholog_81 g3584 gene-HOLleu_07816
ortholog_82 g3639 gene-HOLleu_10356
ortholog_83 g3671 gene-HOLleu_12882
ortholog_84 g3683 gene-HOLleu_26917
ortholog_85 g3737 gene-HOLleu_09806
ortholog_86 g3746 gene-HOLleu_09857
ortholog_87 g3760 gene-HOLleu_10759
ortholog_88 g3770 gene-HOLleu_21851
ortholog_89 g3794 gene-HOLleu_11573
ortholog_90 g3933 gene-HOLleu_04959
ortholog_91 g3935 gene-HOLleu_08063
ortholog_92 g3944 gene-HOLleu_09980
ortholog_93 g3950 gene-HOLleu_09982
ortholog_94 g3957 gene-HOLleu_10635
ortholog_95 g3962 gene-HOLleu_44818
ortholog_96 g3976 gene-HOLleu_10357
ortholog_97 g3978 gene-HOLleu_11274
ortholog_98 g4007 gene-HOLleu_11057
ortholog_99 g4012 gene-HOLleu_16480
ortholog_100 g4021 gene-HOLleu_14901
ortholog_101 g4023 gene-HOLleu_11399
