ortholog_1 gene-HOLleu_00002 Em0004g788a
ortholog_2 gene-HOLleu_00019 Em0006g1187a
ortholog_3 gene-HOLleu_00033 Em0016g494a
ortholog_4 gene-HOLleu_00052 Em0017g21a
ortholog_5 gene-HOLleu_00053 Em0017g30a
ortholog_6 gene-HOLleu_00059 Em0020g585a
ortholog_7 gene-HOLleu_00075 Em0017g159a
ortholog_8 gene-HOLleu_00081 Em0009g970a
ortholog_9 gene-HOLleu_00082 Em0017g316a
ortholog_10 gene-HOLleu_00143 Em0016g361a
ortholog_11 gene-HOLleu_00145 Em0013g715a
ortholog_12 gene-HOLleu_00183 Em0004g1666a
ortholog_13 gene-HOLleu_00190 Em0006g1584a
ortholog_14 gene-HOLleu_00191 Em0002g949a
ortholog_15 gene-HOLleu_00198 Em0015g1279a
ortholog_16 gene-HOLleu_00199 Em0045g29a
ortholog_17 gene-HOLleu_00234 Em0011g325a
ortholog_18 gene-HOLleu_00256 Em0011g835a
ortholog_19 gene-HOLleu_00257 Em0014g783a
ortholog_20 gene-HOLleu_00275 Em0018g428a
ortholog_21 gene-HOLleu_00278 Em0017g562a
ortholog_22 gene-HOLleu_00280 Em0017g506a
ortholog_23 gene-HOLleu_00283 Em0011g781a
ortholog_24 gene-HOLleu_00284 Em0011g142a
ortholog_25 gene-HOLleu_00287 Em0019g966a
ortholog_26 gene-HOLleu_00304 Em0054g36a
ortholog_27 gene-HOLleu_00313 Em0010g829a
ortholog_28 gene-HOLleu_00318 Em0020g194a
ortholog_29 gene-HOLleu_00332 Em0017g504a
ortholog_30 gene-HOLleu_00371 Em0017g17a
ortholog_31 gene-HOLleu_00379 Em0017g566a
ortholog_32 gene-HOLleu_00454 Em0008g992a
ortholog_33 gene-HOLleu_00511 Em0008g53a
ortholog_34 gene-HOLleu_00527 Em0017g59a
ortholog_35 gene-HOLleu_00533 Em0003g1563a
ortholog_36 gene-HOLleu_00593 Em0013g561a
ortholog_37 gene-HOLleu_00615 Em0017g70a
ortholog_38 gene-HOLleu_00660 Em0076g17a
ortholog_39 gene-HOLleu_00742 Em0016g376a
ortholog_40 gene-HOLleu_00792 Em0005g408a
ortholog_41 gene-HOLleu_00845 Em0017g521a
ortholog_42 gene-HOLleu_00858 Em0023g903a
ortholog_43 gene-HOLleu_01044 Em0008g995a
ortholog_44 gene-HOLleu_01087 Em0007g1064a
ortholog_45 gene-HOLleu_01104 Em0005g758a
ortholog_46 gene-HOLleu_01130 Em0003g363a
ortholog_47 gene-HOLleu_01149 Em0002g928a
ortholog_48 gene-HOLleu_01154 Em0023g826a
ortholog_49 gene-HOLleu_01161 Em0002g929a
ortholog_50 gene-HOLleu_01171 Em0001g3252a
ortholog_51 gene-HOLleu_01227 Em0017g291a
ortholog_52 gene-HOLleu_01262 Em0010g345a
ortholog_53 gene-HOLleu_01263 Em0003g995a
