ortholog_1 g164 BL24932_evm1
ortholog_2 g227 BL31035_evm0
ortholog_3 g378 BL95943_evm0
ortholog_4 g393 BL26823_evm0
ortholog_5 g449 BL21507_evm0
ortholog_6 g621 BL09436_evm1
ortholog_7 g623 BL26322_evm0
ortholog_8 g699 BL24256_evm0
ortholog_9 g789 BL19009_cuf5
ortholog_10 g801 BL30828_evm0
ortholog_11 g844 BL31317_evm0
ortholog_12 g869 BL05183_evm0
ortholog_13 g871 BL81604_cuf0
ortholog_14 g985 BL03933_evm10
ortholog_15 g1090 BL13762_cuf0
ortholog_16 g1096 BL47468_cuf0
ortholog_17 g1149 BL08506_cuf2
ortholog_18 g1205 BL95788_evm1
ortholog_19 g1208 BL13977_cuf1
ortholog_20 g1217 BL41999_cuf1
ortholog_21 g1274 BL10303_evm2
ortholog_22 g1335 BL10390_evm0
ortholog_23 g1394 BL05801_evm0
ortholog_24 g1401 BL04643_evm1
ortholog_25 g1451 BL24418_evm6
ortholog_26 g1475 BL13813_evm9
ortholog_27 g1484 BL24801_evm4
ortholog_28 g1497 BL05708_evm0
ortholog_29 g1528 BL05005_evm25
ortholog_30 g1623 BL01470_evm4
ortholog_31 g1631 BL17646_evm0
ortholog_32 g1682 BL23955_cuf0
ortholog_33 g1684 BL02485_evm0
ortholog_34 g1731 BL00526_evm3
ortholog_35 g1793 BL64849_cuf0
ortholog_36 g1809 BL15434_cuf0
ortholog_37 g1816 BL21339_cuf6
ortholog_38 g1841 BL21049_cuf8
ortholog_39 g1966 BL16269_evm1
ortholog_40 g1992 BL17642_cuf27
ortholog_41 g2008 BL01858_cuf1
ortholog_42 g2013 BL20694_cuf1
ortholog_43 g2017 BL20697_evm11
ortholog_44 g2027 BL19948_cuf1
ortholog_45 g2029 BL14336_evm0
ortholog_46 g2042 BL11964_cuf0
ortholog_47 g2046 BL16955_evm0
ortholog_48 g2110 BL04764_cuf2
ortholog_49 g2273 BL19377_cuf5
ortholog_50 g2284 BL03666_cuf4
ortholog_51 g2309 BL31809_evm0
ortholog_52 g2321 BL01741_evm0
ortholog_53 g2357 BL16259_evm12
ortholog_54 g2500 BL05425_cuf4
ortholog_55 g2503 BL21463_evm3
ortholog_56 g2520 BL16440_cuf4
ortholog_57 g2540 BL18055_evm2
ortholog_58 g2732 BL18178_evm0
ortholog_59 g2733 BL17228_evm0
ortholog_60 g2736 BL20173_evm0
ortholog_61 g2791 BL96508_cuf18
ortholog_62 g2801 BL17201_evm0
ortholog_63 g2808 BL14472_cuf4
ortholog_64 g2819 BL16437_evm9
ortholog_65 g2839 BL18941_evm2
ortholog_66 g2885 BL01624_cuf2
ortholog_67 g2898 BL18577_evm9
ortholog_68 g2959 BL24442_evm0
ortholog_69 g3008 BL12264_cuf1
ortholog_70 g3016 BL21065_evm0
ortholog_71 g3069 BL24761_evm4
ortholog_72 g3072 BL17640_evm0
ortholog_73 g3090 BL14964_cuf2
ortholog_74 g3147 BL04557_cuf6
ortholog_75 g3186 BL09134_evm2
ortholog_76 g3258 BL96110_evm0
ortholog_77 g3265 BL13398_evm2
ortholog_78 g3268 BL10913_evm0
ortholog_79 g3275 BL01954_evm0
ortholog_80 g3297 BL16423_evm1
ortholog_81 g3328 BL14259_evm1
ortholog_82 g3352 BL64247_cuf0
ortholog_83 g3382 BL11086_evm12
ortholog_84 g3399 BL21538_evm0
ortholog_85 g3424 BL16552_evm0
ortholog_86 g3637 BL20322_cuf11
