ortholog_1 gene-HOLleu_00018 PL21831
ortholog_2 gene-HOLleu_00019 PL21593
ortholog_3 gene-HOLleu_00023 PL33744
ortholog_4 gene-HOLleu_00035 PL02615
ortholog_5 gene-HOLleu_00041 PL27006
ortholog_6 gene-HOLleu_00049 PL01340
ortholog_7 gene-HOLleu_00050 PL21886
ortholog_8 gene-HOLleu_00051 PL22268
ortholog_9 gene-HOLleu_00052 PL21986
ortholog_10 gene-HOLleu_00053 PL22624
ortholog_11 gene-HOLleu_00075 PL23159
ortholog_12 gene-HOLleu_00081 PL22528
ortholog_13 gene-HOLleu_00082 PL23132
ortholog_14 gene-HOLleu_00084 PL39255
ortholog_15 gene-HOLleu_00088 PL21596
ortholog_16 gene-HOLleu_00106 PL09233
ortholog_17 gene-HOLleu_00112 PL21842
ortholog_18 gene-HOLleu_00113 PL22472
ortholog_19 gene-HOLleu_00115 PL23682
ortholog_20 gene-HOLleu_00118 PL29553
ortholog_21 gene-HOLleu_00143 PL23202
ortholog_22 gene-HOLleu_00148 PL23295
ortholog_23 gene-HOLleu_00152 PL23187
ortholog_24 gene-HOLleu_00171 PL39974
ortholog_25 gene-HOLleu_00197 PL35629
ortholog_26 gene-HOLleu_00200 PL06031
ortholog_27 gene-HOLleu_00207 PL09425
ortholog_28 gene-HOLleu_00214 PL35693
ortholog_29 gene-HOLleu_00230 PL21616
ortholog_30 gene-HOLleu_00256 PL17409
ortholog_31 gene-HOLleu_00275 PL21418
ortholog_32 gene-HOLleu_00276 PL21762
ortholog_33 gene-HOLleu_00278 PL22481
ortholog_34 gene-HOLleu_00279 PL19132
ortholog_35 gene-HOLleu_00280 PL21401
ortholog_36 gene-HOLleu_00283 PL22297
ortholog_37 gene-HOLleu_00286 PL21514
ortholog_38 gene-HOLleu_00287 PL22183
ortholog_39 gene-HOLleu_00299 PL37574
ortholog_40 gene-HOLleu_00307 PL29931
ortholog_41 gene-HOLleu_00318 PL22564
ortholog_42 gene-HOLleu_00319 PL22925
ortholog_43 gene-HOLleu_00369 PL23588
ortholog_44 gene-HOLleu_00371 PL13476
ortholog_45 gene-HOLleu_00376 PL22685
ortholog_46 gene-HOLleu_00379 PL22090
ortholog_47 gene-HOLleu_00385 PL22976
ortholog_48 gene-HOLleu_00440 PL23107
ortholog_49 gene-HOLleu_00496 PL01315
ortholog_50 gene-HOLleu_00500 PL21904
ortholog_51 gene-HOLleu_00511 PL22051
ortholog_52 gene-HOLleu_00527 PL10703
ortholog_53 gene-HOLleu_00528 PL13219
ortholog_54 gene-HOLleu_00532 PL22682
ortholog_55 gene-HOLleu_00533 PL21345
ortholog_56 gene-HOLleu_00552 PL29507
ortholog_57 gene-HOLleu_00559 PL06147
ortholog_58 gene-HOLleu_00573 PL23390
ortholog_59 gene-HOLleu_00608 PL11740
ortholog_60 gene-HOLleu_00613 PL09991
ortholog_61 gene-HOLleu_00615 PL28689
ortholog_62 gene-HOLleu_00648 PL41619
ortholog_63 gene-HOLleu_00652 PL40151
ortholog_64 gene-HOLleu_00698 PL20711
ortholog_65 gene-HOLleu_00712 PL11586
ortholog_66 gene-HOLleu_00723 PL38517
ortholog_67 gene-HOLleu_00724 PL28559
ortholog_68 gene-HOLleu_00742 PL21498
ortholog_69 gene-HOLleu_00761 PL25341
ortholog_70 gene-HOLleu_00780 PL32229
ortholog_71 gene-HOLleu_00789 PL06519
ortholog_72 gene-HOLleu_00823 PL22747
ortholog_73 gene-HOLleu_00845 PL22855
ortholog_74 gene-HOLleu_00858 PL28036
ortholog_75 gene-HOLleu_00859 PL27414
ortholog_76 gene-HOLleu_00869 PL09517
ortholog_77 gene-HOLleu_00878 PL19528
ortholog_78 gene-HOLleu_00880 PL28471
ortholog_79 gene-HOLleu_00882 PL27176
ortholog_80 gene-HOLleu_00889 PL37560
ortholog_81 gene-HOLleu_00904 PL12291
ortholog_82 gene-HOLleu_00909 PL00464
ortholog_83 gene-HOLleu_00918 PL21820
ortholog_84 gene-HOLleu_01029 PL30463
ortholog_85 gene-HOLleu_01044 PL17289
ortholog_86 gene-HOLleu_01057 PL10497
ortholog_87 gene-HOLleu_01062 PL23643
ortholog_88 gene-HOLleu_01069 PL21763
ortholog_89 gene-HOLleu_01090 PL33462
ortholog_90 gene-HOLleu_01098 PL22959
ortholog_91 gene-HOLleu_01162 PL02918
ortholog_92 gene-HOLleu_01163 PL11099
ortholog_93 gene-HOLleu_01187 PL23959
ortholog_94 gene-HOLleu_01189 PL24643
ortholog_95 gene-HOLleu_01203 PL28463
ortholog_96 gene-HOLleu_01204 PL28457
ortholog_97 gene-HOLleu_01205 PL28462
ortholog_98 gene-HOLleu_01206 PL28452
ortholog_99 gene-HOLleu_01208 PL34356
ortholog_100 gene-HOLleu_01252 PL20149
ortholog_101 gene-HOLleu_01253 PL07026
ortholog_102 gene-HOLleu_01259 PL11891
ortholog_103 gene-HOLleu_01263 PL05424
ortholog_104 gene-HOLleu_01280 PL30555
ortholog_105 gene-HOLleu_01299 PL05313
ortholog_106 gene-HOLleu_01329 PL21536
ortholog_107 gene-HOLleu_01379 PL23004
ortholog_108 gene-HOLleu_01380 PL21719
ortholog_109 gene-HOLleu_01382 PL22264
ortholog_110 gene-HOLleu_01383 PL22243
ortholog_111 gene-HOLleu_01384 PL23343
ortholog_112 gene-HOLleu_01385 PL22646
ortholog_113 gene-HOLleu_01387 PL22559
ortholog_114 gene-HOLleu_01400 PL23173
ortholog_115 gene-HOLleu_01403 PL21640
ortholog_116 gene-HOLleu_01404 PL23610
ortholog_117 gene-HOLleu_01405 PL23569
ortholog_118 gene-HOLleu_01406 PL21318
ortholog_119 gene-HOLleu_01425 PL24452
ortholog_120 gene-HOLleu_01426 PL22877
ortholog_121 gene-HOLleu_01437 PL22672
ortholog_122 gene-HOLleu_01452 PL31456
ortholog_123 gene-HOLleu_01455 PL22934
ortholog_124 gene-HOLleu_01460 PL27158
ortholog_125 gene-HOLleu_01472 PL25479
ortholog_126 gene-HOLleu_01514 PL18756
ortholog_127 gene-HOLleu_01519 PL00513
ortholog_128 gene-HOLleu_01523 PL04759
ortholog_129 gene-HOLleu_01530 PL21425
ortholog_130 gene-HOLleu_01538 PL04176
ortholog_131 gene-HOLleu_01568 PL33483
ortholog_132 gene-HOLleu_01570 PL39137
ortholog_133 gene-HOLleu_01581 PL21002
