ortholog_1 gene-HOLleu_00014 AFI21291.1
ortholog_2 gene-HOLleu_00019 AFI20337.1
ortholog_3 gene-HOLleu_00022 AFI20742.1
ortholog_4 gene-HOLleu_00023 AFI20344.1
ortholog_5 gene-HOLleu_00033 AFI15912.1
ortholog_6 gene-HOLleu_00035 AFI32167.1
ortholog_7 gene-HOLleu_00040 AFI06555.1
ortholog_8 gene-HOLleu_00050 AFI03241.1
ortholog_9 gene-HOLleu_00051 AFI03194.1
ortholog_10 gene-HOLleu_00052 AFI03386.1
ortholog_11 gene-HOLleu_00053 AFI02695.1
ortholog_12 gene-HOLleu_00075 AFI14381.1
ortholog_13 gene-HOLleu_00081 AFI21134.1
ortholog_14 gene-HOLleu_00082 AFI21394.1
ortholog_15 gene-HOLleu_00084 AFI20796.1
ortholog_16 gene-HOLleu_00088 AFI20472.2
ortholog_17 gene-HOLleu_00106 AFI05916.2
ortholog_18 gene-HOLleu_00109 AFI19202.1
ortholog_19 gene-HOLleu_00111 AFI28250.1
ortholog_20 gene-HOLleu_00112 AFI14278.1
ortholog_21 gene-HOLleu_00115 AFI33624.1
ortholog_22 gene-HOLleu_00118 AFI13634.1
ortholog_23 gene-HOLleu_00119 AFI21212.1
ortholog_24 gene-HOLleu_00122 AFI30009.1
ortholog_25 gene-HOLleu_00143 AFI21199.1
ortholog_26 gene-HOLleu_00145 AFI21424.1
ortholog_27 gene-HOLleu_00148 AFI02278.1
ortholog_28 gene-HOLleu_00152 AFI00282.1
ortholog_29 gene-HOLleu_00171 AFI21981.1
ortholog_30 gene-HOLleu_00177 AFI04619.1
ortholog_31 gene-HOLleu_00200 AFI13221.1
ortholog_32 gene-HOLleu_00228 AFI15686.1
ortholog_33 gene-HOLleu_00230 AFI03247.1
ortholog_34 gene-HOLleu_00234 AFI10611.1
ortholog_35 gene-HOLleu_00256 AFI14364.1
ortholog_36 gene-HOLleu_00257 AFI14302.1
ortholog_37 gene-HOLleu_00275 AFI20321.1
ortholog_38 gene-HOLleu_00276 AFI20434.6
ortholog_39 gene-HOLleu_00278 AFI21005.1
ortholog_40 gene-HOLleu_00280 AFI20017.1
ortholog_41 gene-HOLleu_00281 AFI21258.1
ortholog_42 gene-HOLleu_00283 AFI03182.1
ortholog_43 gene-HOLleu_00284 AFI20708.1
ortholog_44 gene-HOLleu_00286 AFI20197.1
ortholog_45 gene-HOLleu_00287 AFI19941.1
ortholog_46 gene-HOLleu_00296 AFI14178.1
ortholog_47 gene-HOLleu_00311 AFI03389.1
ortholog_48 gene-HOLleu_00319 AFI02163.1
ortholog_49 gene-HOLleu_00340 AFI20920.1
ortholog_50 gene-HOLleu_00369 AFI03318.1
ortholog_51 gene-HOLleu_00371 AFI02632.1
ortholog_52 gene-HOLleu_00378 AFI03485.1
ortholog_53 gene-HOLleu_00379 AFI02636.1
ortholog_54 gene-HOLleu_00382 AFI16175.1
ortholog_55 gene-HOLleu_00385 AFI20656.8
ortholog_56 gene-HOLleu_00440 AFI21039.1
ortholog_57 gene-HOLleu_00442 AFI19939.1
ortholog_58 gene-HOLleu_00456 AFI32750.1
ortholog_59 gene-HOLleu_00457 AFI19460.1
ortholog_60 gene-HOLleu_00511 AFI29832.1
ortholog_61 gene-HOLleu_00519 AFI14029.1
ortholog_62 gene-HOLleu_00527 AFI14367.1
ortholog_63 gene-HOLleu_00530 AFI06319.1
ortholog_64 gene-HOLleu_00533 AFI02205.6
ortholog_65 gene-HOLleu_00539 AFI19718.1
ortholog_66 gene-HOLleu_00555 AFI33722.1
ortholog_67 gene-HOLleu_00573 AFI13681.1
ortholog_68 gene-HOLleu_00615 AFI02339.1
ortholog_69 gene-HOLleu_00625 AFI32194.1
ortholog_70 gene-HOLleu_00648 AFI11731.1
ortholog_71 gene-HOLleu_00652 AFI21454.1
ortholog_72 gene-HOLleu_00656 AFI28587.1
ortholog_73 gene-HOLleu_00721 AFI11131.1
ortholog_74 gene-HOLleu_00729 AFI04330.1
ortholog_75 gene-HOLleu_00780 AFI14603.1
ortholog_76 gene-HOLleu_00845 AFI20195.1
ortholog_77 gene-HOLleu_00859 AFI10554.1
ortholog_78 gene-HOLleu_00883 AFI09565.1
ortholog_79 gene-HOLleu_00889 AFI02185.1
ortholog_80 gene-HOLleu_00899 AFI01401.1
ortholog_81 gene-HOLleu_00904 AFI23270.1
ortholog_82 gene-HOLleu_00933 AFI03075.2
ortholog_83 gene-HOLleu_00976 AFI27797.1
ortholog_84 gene-HOLleu_01062 AFI10880.1
ortholog_85 gene-HOLleu_01069 AFI10882.1
ortholog_86 gene-HOLleu_01090 AFI25370.1
ortholog_87 gene-HOLleu_01129 AFI11502.1
ortholog_88 gene-HOLleu_01189 AFI30760.1
ortholog_89 gene-HOLleu_01190 AFI11257.1
ortholog_90 gene-HOLleu_01252 AFI16324.1
ortholog_91 gene-HOLleu_01255 AFI07762.1
ortholog_92 gene-HOLleu_01270 AFI21718.1
ortholog_93 gene-HOLleu_01278 AFI28951.1
ortholog_94 gene-HOLleu_01289 AFI08222.1
ortholog_95 gene-HOLleu_01329 AFI31539.1
ortholog_96 gene-HOLleu_01330 AFI02397.1
ortholog_97 gene-HOLleu_01331 AFI13836.1
ortholog_98 gene-HOLleu_01377 AFI01182.1
ortholog_99 gene-HOLleu_01380 AFI20868.4
ortholog_100 gene-HOLleu_01382 AFI20879.1
ortholog_101 gene-HOLleu_01383 AFI20286.1
ortholog_102 gene-HOLleu_01384 AFI20819.1
