ortholog_1 gene-HOLleu_00001 BL04309_cuf3
ortholog_2 gene-HOLleu_00002 BL30345_evm0
ortholog_3 gene-HOLleu_00014 BL09881_cuf0
ortholog_4 gene-HOLleu_00019 BL00932_evm0
ortholog_5 gene-HOLleu_00023 BL23512_cuf0
ortholog_6 gene-HOLleu_00052 BL07584_evm0
ortholog_7 gene-HOLleu_00053 BL20100_evm5
ortholog_8 gene-HOLleu_00059 BL11519_cuf20
ortholog_9 gene-HOLleu_00066 BL31731_evm0
ortholog_10 gene-HOLleu_00075 BL05873_evm0
ortholog_11 gene-HOLleu_00081 BL18730_evm0
ortholog_12 gene-HOLleu_00084 BL29330_evm0
ortholog_13 gene-HOLleu_00107 BL05732_cuf7
ortholog_14 gene-HOLleu_00112 BL16214_evm0
ortholog_15 gene-HOLleu_00117 BL73895_cuf0
ortholog_16 gene-HOLleu_00119 BL19608_cuf3
ortholog_17 gene-HOLleu_00143 BL14045_cuf3
ortholog_18 gene-HOLleu_00145 BL25783_evm0
ortholog_19 gene-HOLleu_00148 BL14016_cuf2
ortholog_20 gene-HOLleu_00152 BL26142_evm0
ortholog_21 gene-HOLleu_00177 BL24104_evm0
ortholog_22 gene-HOLleu_00230 BL21932_cuf0
ortholog_23 gene-HOLleu_00234 BL23938_evm2
ortholog_24 gene-HOLleu_00256 BL05316_cuf1
ortholog_25 gene-HOLleu_00257 BL07593_evm0
ortholog_26 gene-HOLleu_00258 BL97359_cuf2
ortholog_27 gene-HOLleu_00275 BL21811_cuf1
ortholog_28 gene-HOLleu_00278 BL12670_cuf6
ortholog_29 gene-HOLleu_00280 BL03385_evm0
ortholog_30 gene-HOLleu_00281 BL08002_cuf3
ortholog_31 gene-HOLleu_00283 BL20436_evm0
ortholog_32 gene-HOLleu_00284 BL04474_evm3
ortholog_33 gene-HOLleu_00286 BL20613_evm6
ortholog_34 gene-HOLleu_00309 BL96614_cuf43
ortholog_35 gene-HOLleu_00318 BL14715_cuf0
ortholog_36 gene-HOLleu_00319 BL07499_evm0
ortholog_37 gene-HOLleu_00334 BL15546_evm1
ortholog_38 gene-HOLleu_00339 BL25933_evm0
ortholog_39 gene-HOLleu_00369 BL19900_evm1
ortholog_40 gene-HOLleu_00371 BL22384_evm0
ortholog_41 gene-HOLleu_00378 BL96028_evm0
ortholog_42 gene-HOLleu_00379 BL00225_cuf1
ortholog_43 gene-HOLleu_00454 BL05801_evm0
ortholog_44 gene-HOLleu_00494 BL05460_cuf0
ortholog_45 gene-HOLleu_00511 BL08897_evm0
ortholog_46 gene-HOLleu_00530 BL06251_evm0
ortholog_47 gene-HOLleu_00615 BL17096_cuf1
ortholog_48 gene-HOLleu_00622 BL24968_evm0
