ortholog_1 gene-HOLleu_00014 BL21936
ortholog_2 gene-HOLleu_00019 BL02592
ortholog_3 gene-HOLleu_00023 BL04116
ortholog_4 gene-HOLleu_00049 BL14780
ortholog_5 gene-HOLleu_00052 BL11381
ortholog_6 gene-HOLleu_00053 BL18362
ortholog_7 gene-HOLleu_00075 BL23589
ortholog_8 gene-HOLleu_00081 BL25122
ortholog_9 gene-HOLleu_00082 BL14507
ortholog_10 gene-HOLleu_00084 BL14279
ortholog_11 gene-HOLleu_00112 BL11115
ortholog_12 gene-HOLleu_00117 BL11577
ortholog_13 gene-HOLleu_00118 BL27853
ortholog_14 gene-HOLleu_00143 BL01459
ortholog_15 gene-HOLleu_00148 BL15941
ortholog_16 gene-HOLleu_00152 BL00953
ortholog_17 gene-HOLleu_00168 BL04301
ortholog_18 gene-HOLleu_00177 BL03607
ortholog_19 gene-HOLleu_00230 BL02903
ortholog_20 gene-HOLleu_00237 BL10603
ortholog_21 gene-HOLleu_00256 BL14221
ortholog_22 gene-HOLleu_00275 BL07334
ortholog_23 gene-HOLleu_00276 BL00892
ortholog_24 gene-HOLleu_00278 BL15755
ortholog_25 gene-HOLleu_00283 BL10786
ortholog_26 gene-HOLleu_00284 BL15092
ortholog_27 gene-HOLleu_00286 BL19259
ortholog_28 gene-HOLleu_00287 BL05366
ortholog_29 gene-HOLleu_00309 BL17976
ortholog_30 gene-HOLleu_00318 BL08385
ortholog_31 gene-HOLleu_00319 BL00387
ortholog_32 gene-HOLleu_00369 BL20023
ortholog_33 gene-HOLleu_00371 BL04235
ortholog_34 gene-HOLleu_00378 BL19949
ortholog_35 gene-HOLleu_00379 BL04725
ortholog_36 gene-HOLleu_00494 BL10432
ortholog_37 gene-HOLleu_00511 BL14991
ortholog_38 gene-HOLleu_00527 BL16776
ortholog_39 gene-HOLleu_00534 BL13256
ortholog_40 gene-HOLleu_00538 BL08047
ortholog_41 gene-HOLleu_00552 BL17832
ortholog_42 gene-HOLleu_00569 BL05156
ortholog_43 gene-HOLleu_00615 BL20113
ortholog_44 gene-HOLleu_00622 BL20008
ortholog_45 gene-HOLleu_00628 BL17077
ortholog_46 gene-HOLleu_00649 BL24986
ortholog_47 gene-HOLleu_00653 BL05352
ortholog_48 gene-HOLleu_00747 BL24214
ortholog_49 gene-HOLleu_00774 BL08819
ortholog_50 gene-HOLleu_00831 BL11354
ortholog_51 gene-HOLleu_00844 BL00373
ortholog_52 gene-HOLleu_00845 BL21981
ortholog_53 gene-HOLleu_00883 BL06896
ortholog_54 gene-HOLleu_01062 BL17675
ortholog_55 gene-HOLleu_01063 BL11205
ortholog_56 gene-HOLleu_01104 BL21265
ortholog_57 gene-HOLleu_01162 BL27482
ortholog_58 gene-HOLleu_01182 BL23301
ortholog_59 gene-HOLleu_01204 BL15931
ortholog_60 gene-HOLleu_01253 BL13208
ortholog_61 gene-HOLleu_01262 BL20345
ortholog_62 gene-HOLleu_01263 BL15971
ortholog_63 gene-HOLleu_01264 BL15972
ortholog_64 gene-HOLleu_01265 BL16475
ortholog_65 gene-HOLleu_01269 BL05822
ortholog_66 gene-HOLleu_01329 BL15573
ortholog_67 gene-HOLleu_01330 BL13943
ortholog_68 gene-HOLleu_01377 BL06078
ortholog_69 gene-HOLleu_01380 BL23014
ortholog_70 gene-HOLleu_01382 BL09021
ortholog_71 gene-HOLleu_01383 BL13313
ortholog_72 gene-HOLleu_01384 BL23746
ortholog_73 gene-HOLleu_01385 BL20242
ortholog_74 gene-HOLleu_01387 BL20998
ortholog_75 gene-HOLleu_01403 BL22613
ortholog_76 gene-HOLleu_01404 BL15731
ortholog_77 gene-HOLleu_01405 BL10578
ortholog_78 gene-HOLleu_01406 BL15011
ortholog_79 gene-HOLleu_01426 BL02411
ortholog_80 gene-HOLleu_01437 BL12731
ortholog_81 gene-HOLleu_01455 BL17720
ortholog_82 gene-HOLleu_01460 BL04812
ortholog_83 gene-HOLleu_01680 BL13720
ortholog_84 gene-HOLleu_01693 BL06552
ortholog_85 gene-HOLleu_01694 BL16590
ortholog_86 gene-HOLleu_01697 BL00756
ortholog_87 gene-HOLleu_01722 BL27836
ortholog_88 gene-HOLleu_01745 BL07913
ortholog_89 gene-HOLleu_01794 BL21134
ortholog_90 gene-HOLleu_01803 BL19311
ortholog_91 gene-HOLleu_02013 BL17211
ortholog_92 gene-HOLleu_02015 BL15746
ortholog_93 gene-HOLleu_02017 BL06022
ortholog_94 gene-HOLleu_02027 BL00124
ortholog_95 gene-HOLleu_02035 BL06186
ortholog_96 gene-HOLleu_02056 BL20624
ortholog_97 gene-HOLleu_02163 BL02068
ortholog_98 gene-HOLleu_02165 BL02067
ortholog_99 gene-HOLleu_02167 BL08220
ortholog_100 gene-HOLleu_02190 BL20181
ortholog_101 gene-HOLleu_02194 BL15542
ortholog_102 gene-HOLleu_02197 BL13264
ortholog_103 gene-HOLleu_02207 BL05580
ortholog_104 gene-HOLleu_02242 BL16436
ortholog_105 gene-HOLleu_02243 BL03298
ortholog_106 gene-HOLleu_02246 BL24108
ortholog_107 gene-HOLleu_02253 BL24423
ortholog_108 gene-HOLleu_02259 BL21518
ortholog_109 gene-HOLleu_02286 BL26742
ortholog_110 gene-HOLleu_02473 BL20200
ortholog_111 gene-HOLleu_02477 BL01367
ortholog_112 gene-HOLleu_02478 BL04197
ortholog_113 gene-HOLleu_02479 BL05067
ortholog_114 gene-HOLleu_02483 BL16753
ortholog_115 gene-HOLleu_02493 BL10744
ortholog_116 gene-HOLleu_02515 BL14297
ortholog_117 gene-HOLleu_02516 BL10725
ortholog_118 gene-HOLleu_02520 BL06998
ortholog_119 gene-HOLleu_02553 BL22552
ortholog_120 gene-HOLleu_02557 BL23335
ortholog_121 gene-HOLleu_02577 BL13755
ortholog_122 gene-HOLleu_02609 BL00184
ortholog_123 gene-HOLleu_02611 BL00968
ortholog_124 gene-HOLleu_02617 BL10116
ortholog_125 gene-HOLleu_02619 BL21633
ortholog_126 gene-HOLleu_02626 BL02161
ortholog_127 gene-HOLleu_02646 BL07259
ortholog_128 gene-HOLleu_02652 BL25052
ortholog_129 gene-HOLleu_02653 BL15519
ortholog_130 gene-HOLleu_02660 BL09758
ortholog_131 gene-HOLleu_02685 BL12719
ortholog_132 gene-HOLleu_02688 BL27755
ortholog_133 gene-HOLleu_02690 BL27752
ortholog_134 gene-HOLleu_02691 BL18684
ortholog_135 gene-HOLleu_02730 BL20245
ortholog_136 gene-HOLleu_02734 BL09722
ortholog_137 gene-HOLleu_02819 BL23161
ortholog_138 gene-HOLleu_02843 BL20397
ortholog_139 gene-HOLleu_02852 BL22185
ortholog_140 gene-HOLleu_02908 BL20803
ortholog_141 gene-HOLleu_02914 BL04757
ortholog_142 gene-HOLleu_02996 BL27654
ortholog_143 gene-HOLleu_03003 BL18766
ortholog_144 gene-HOLleu_03026 BL00177
ortholog_145 gene-HOLleu_03053 BL10239
ortholog_146 gene-HOLleu_03062 BL09477
ortholog_147 gene-HOLleu_03072 BL16903
ortholog_148 gene-HOLleu_03183 BL08539
ortholog_149 gene-HOLleu_03245 BL26963
ortholog_150 gene-HOLleu_03288 BL05089
ortholog_151 gene-HOLleu_03343 BL26327
ortholog_152 gene-HOLleu_03402 BL21415
ortholog_153 gene-HOLleu_03437 BL16851
ortholog_154 gene-HOLleu_03459 BL25986
ortholog_155 gene-HOLleu_03460 BL15942
ortholog_156 gene-HOLleu_03482 BL28039
ortholog_157 gene-HOLleu_03497 BL07292
ortholog_158 gene-HOLleu_03560 BL05726
ortholog_159 gene-HOLleu_03561 BL26837
ortholog_160 gene-HOLleu_03564 BL20149
ortholog_161 gene-HOLleu_03566 BL10656
ortholog_162 gene-HOLleu_03567 BL15448
ortholog_163 gene-HOLleu_03590 BL20587
ortholog_164 gene-HOLleu_03606 BL01990
ortholog_165 gene-HOLleu_03623 BL00237
ortholog_166 gene-HOLleu_03629 BL17758
ortholog_167 gene-HOLleu_03634 BL26560
ortholog_168 gene-HOLleu_03636 BL14576
ortholog_169 gene-HOLleu_03638 BL08206
ortholog_170 gene-HOLleu_03672 BL27760
ortholog_171 gene-HOLleu_03699 BL05837
ortholog_172 gene-HOLleu_03735 BL23108
ortholog_173 gene-HOLleu_03749 BL24559
ortholog_174 gene-HOLleu_03754 BL17281
ortholog_175 gene-HOLleu_03814 BL20311
ortholog_176 gene-HOLleu_03816 BL22955
ortholog_177 gene-HOLleu_03825 BL05622
ortholog_178 gene-HOLleu_03848 BL11595
ortholog_179 gene-HOLleu_03871 BL04137
ortholog_180 gene-HOLleu_03885 BL26974
ortholog_181 gene-HOLleu_03917 BL04946
ortholog_182 gene-HOLleu_03956 BL12413
ortholog_183 gene-HOLleu_03957 BL22096
ortholog_184 gene-HOLleu_03984 BL07367
ortholog_185 gene-HOLleu_03988 BL22161
ortholog_186 gene-HOLleu_04005 BL06612
ortholog_187 gene-HOLleu_04007 BL23389
ortholog_188 gene-HOLleu_04009 BL17099
ortholog_189 gene-HOLleu_04010 BL14337
ortholog_190 gene-HOLleu_04011 BL22184
ortholog_191 gene-HOLleu_04025 BL25452
ortholog_192 gene-HOLleu_04053 BL01929
ortholog_193 gene-HOLleu_04054 BL03519
ortholog_194 gene-HOLleu_04060 BL11470
ortholog_195 gene-HOLleu_04071 BL21607
ortholog_196 gene-HOLleu_04072 BL21606
ortholog_197 gene-HOLleu_04073 BL07898
ortholog_198 gene-HOLleu_04079 BL01414
ortholog_199 gene-HOLleu_04116 BL11425
ortholog_200 gene-HOLleu_04156 BL23803
ortholog_201 gene-HOLleu_04169 BL16887
ortholog_202 gene-HOLleu_04189 BL15213
ortholog_203 gene-HOLleu_04190 BL05411
ortholog_204 gene-HOLleu_04199 BL13402
ortholog_205 gene-HOLleu_04215 BL19646
ortholog_206 gene-HOLleu_04285 BL16819
ortholog_207 gene-HOLleu_04331 BL24460
ortholog_208 gene-HOLleu_04333 BL16669
ortholog_209 gene-HOLleu_04336 BL21189
ortholog_210 gene-HOLleu_04339 BL11227
ortholog_211 gene-HOLleu_04341 BL21769
ortholog_212 gene-HOLleu_04378 BL10576
ortholog_213 gene-HOLleu_04460 BL11420
ortholog_214 gene-HOLleu_04470 BL02839
ortholog_215 gene-HOLleu_04472 BL25809
ortholog_216 gene-HOLleu_04502 BL25689
ortholog_217 gene-HOLleu_04525 BL05545
ortholog_218 gene-HOLleu_04552 BL18778
ortholog_219 gene-HOLleu_04576 BL23568
ortholog_220 gene-HOLleu_04578 BL25451
ortholog_221 gene-HOLleu_04606 BL23365
