ortholog_1 MGL00634.1 SCH19313.1
ortholog_2 MGL01089.1 SCH22965.1
ortholog_3 MGL01347.1 SCH23317.1
ortholog_4 MGL01401.1 SCH22178.1
ortholog_5 MGL01487.1 SCH22338.1
ortholog_6 MGL01583.1 SCH23237.1
ortholog_7 MGL00109.1 SCH22854.1
ortholog_8 MGL00163.1 SCH22593.1
ortholog_9 MGL01561.1 SCH22647.1
ortholog_10 MGL01392.1 SCH01087.1
ortholog_11 MGL00100.1 SCH21782.1
ortholog_12 MGL00317.1 SCH23321.1
ortholog_13 MGL00475.1 SCH22402.1
ortholog_14 MGL00534.1 SCH22946.1
ortholog_15 MGL00589.1 SCH23034.1
ortholog_16 MGL00647.1 SCH22023.1
ortholog_17 MGL00789.1 SCH22137.1
ortholog_18 MGL00894.1 SCH22703.1
ortholog_19 MGL00999.1 SCH21979.1
ortholog_20 MGL01104.1 SCH21975.1
ortholog_21 MGL01158.1 SCH23010.1
ortholog_22 MGL00099.1 SCH23066.1
ortholog_23 MGL01450.1 SCH23080.1
ortholog_24 MGL01244.1 SCH22197.1
ortholog_25 MGL00438.1 SCH23121.1
ortholog_26 MGL00277.1 SCH22375.1
ortholog_27 MGL00682.1 SCH22951.1
ortholog_28 MGL00172.1 SCH21833.1
ortholog_29 MGL00073.1 SCH21978.1
ortholog_30 MGL01596.1 SCH23246.1
ortholog_31 MGL01544.1 SCH22200.1
ortholog_32 MGL01500.1 SCH21853.1
ortholog_33 MGL01457.1 SCH22861.1
ortholog_34 MGL01411.1 SCH22344.1
ortholog_35 MGL01323.1 SCH21706.1
ortholog_36 MGL01613.1 SCH03345.1
ortholog_37 MGL01475.1 SCH02606.1
ortholog_38 MGL01061.1 SCH22592.1
ortholog_39 MGL00601.1 SCH22662.1
ortholog_40 MGL00483.1 SCH22652.1
ortholog_41 MGL00276.1 SCH23067.1
ortholog_42 MGL00226.1 SCH22463.1
ortholog_43 MGL00568.1 SCH21896.1
ortholog_44 MGL00501.1 SCH22356.1
ortholog_45 MGL00451.1 SCH22600.1
ortholog_46 MGL00417.1 SCH22957.1
ortholog_47 MGL00348.1 SCH22455.1
ortholog_48 MGL00246.1 SCH22299.1
ortholog_49 MGL00190.1 SCH22135.1
ortholog_50 MGL01035.1 SCH22189.1
ortholog_51 MGL00042.1 SCH22072.1
ortholog_52 MGL01615.1 SCH21897.1
ortholog_53 MGL00626.1 SCH22026.1
ortholog_54 MGL00884.1 SCH23227.1
ortholog_55 MGL00780.1 SCH22787.1
ortholog_56 MGL00732.1 SCH22590.1
ortholog_57 MGL00686.1 SCH22632.1
ortholog_58 MGL00638.1 SCH21885.1
ortholog_59 MGL00580.1 SCH22731.1
ortholog_60 MGL01197.1 SCH22256.1
ortholog_61 MGL00420.1 SCH23132.1
ortholog_62 MGL00364.1 SCH22509.1
ortholog_63 MGL00512.1 SCH22698.1
ortholog_64 MGL00263.1 SCH22781.1
ortholog_65 MGL00210.1 SCH22682.1
ortholog_66 MGL00159.1 SCH22708.1
ortholog_67 MGL00004.1 SCH16581.1
ortholog_68 MGL01576.1 SCH23133.1
ortholog_69 MGL01482.1 SCH22892.1
ortholog_70 MGL01571.1 SCH22572.1
ortholog_71 MGL00624.1 SCH22326.1
ortholog_72 MGL01393.1 SCH22392.1
ortholog_73 MGL00940.1 SCH11267.1
ortholog_74 MGL01252.1 SCH22984.1
ortholog_75 MGL01440.1 SCH22353.1
ortholog_76 MGL01305.1 SCH22477.1
ortholog_77 MGL01213.1 SCH22995.1
ortholog_78 MGL00108.1 SCH21771.1
ortholog_79 MGL00162.1 SCH21834.1
ortholog_80 MGL00693.1 SCH02228.1
ortholog_81 MGL00739.1 SCH07278.1
ortholog_82 MGL00893.1 SCH22017.1
ortholog_83 MGL01050.1 SCH22894.1
ortholog_84 MGL01103.1 SCH22700.1
ortholog_85 MGL01157.1 SCH23235.1
ortholog_86 MGL00010.1 SCH22461.1
ortholog_87 MGL01582.1 SCH23304.1
ortholog_88 MGL01486.1 SCH22156.1
ortholog_89 MGL01448.1 SCH22000.1
ortholog_90 MGL01264.1 SCH23144.1
ortholog_91 MGL01398.1 SCH22453.1
ortholog_92 MGL01447.1 SCH22789.1
ortholog_93 MGL00817.1 SCH22780.1
ortholog_94 MGL01580.1 SCH23039.1
ortholog_95 MGL00008.1 SCH22322.1
ortholog_96 MGL00060.1 SCH21856.1
ortholog_97 MGL00106.1 SCH23175.1
ortholog_98 MGL00946.1 SCH22215.1
ortholog_99 MGL00832.1 SCH22062.1
ortholog_100 MGL01309.1 SCH22559.1
ortholog_101 MGL00644.1 SCH22850.1
ortholog_102 MGL00585.1 SCH22545.1
ortholog_103 MGL00531.1 SCH22490.1
ortholog_104 MGL00424.1 SCH22862.1
ortholog_105 MGL00367.1 SCH23348.1
ortholog_106 MGL00105.1 SCH22793.1
ortholog_107 MGL01485.1 SCH23194.1
ortholog_108 MGL00187.1 SCH07936.1
ortholog_109 MGL01588.1 SCH22744.1
ortholog_110 MGL00067.1 SCH22085.1
ortholog_111 MGL00113.1 SCH22241.1
ortholog_112 MGL00166.1 SCH16303.1
ortholog_113 MGL00270.1 SCH21966.1
ortholog_114 MGL00321.1 SCH23053.1
ortholog_115 MGL00375.1 SCH21824.1
ortholog_116 MGL01195.1 SCH23350.1
ortholog_117 MGL00149.1 SCH21805.1
ortholog_118 MGL00684.1 SCH22971.1
ortholog_119 MGL00101.1 SCH22020.1
ortholog_120 MGL00309.1 SCH23059.1
ortholog_121 MGL00211.1 SCH22866.1
ortholog_122 MGL00472.1 SCH22732.1
ortholog_123 MGL00526.1 SCH22371.1
ortholog_124 MGL00581.1 SCH22126.1
ortholog_125 MGL00687.1 SCH22606.1
ortholog_126 MGL00733.1 SCH21664.1
ortholog_127 MGL00098.1 SCH23117.1
ortholog_128 MGL01429.1 SCH21932.1
ortholog_129 MGL00827.1 SCH23201.1
ortholog_130 MGL00942.1 SCH22471.1
ortholog_131 MGL01042.1 SCH23310.1
ortholog_132 MGL01094.1 SCH09979.1
ortholog_133 MGL01205.1 SCH21937.1
ortholog_134 MGL01257.1 SCH22994.1
ortholog_135 MGL01405.1 SCH22035.1
ortholog_136 MGL01141.1 SCH21731.1
ortholog_137 MGL01034.1 SCH23205.1
ortholog_138 MGL01161.1 SCH18842.1
ortholog_139 MGL01107.1 SCH21825.1
ortholog_140 MGL01054.1 SCH22494.1
ortholog_141 MGL01002.1 SCH21830.1
ortholog_142 MGL01133.1 SCH22883.1
ortholog_143 MGL00695.1 SCH21714.1
ortholog_144 MGL00650.1 SCH21766.1
ortholog_145 MGL00594.1 SCH21912.1
ortholog_146 MGL00479.1 SCH22113.1
ortholog_147 MGL00431.1 SCH21838.1
ortholog_148 MGL00374.1 SCH22196.1
ortholog_149 MGL01587.1 SCH21984.1
ortholog_150 MGL01562.1 SCH23333.1
ortholog_151 MGL00155.1 SCH22160.1
ortholog_152 MGL01491.1 SCH21913.1
ortholog_153 MGL01215.1 SCH21967.1
ortholog_154 MGL01160.1 SCH12283.1
ortholog_155 MGL01053.1 SCH22018.1
ortholog_156 MGL00976.1 SCH16807.1
ortholog_157 MGL00953.1 SCH21819.1
ortholog_158 MGL00896.1 SCH22385.1
ortholog_159 MGL01266.1 SCH22723.1
ortholog_160 MGL01316.1 SCH23150.1
ortholog_161 MGL01403.1 SCH23305.1
ortholog_162 MGL00635.1 SCH22513.1
ortholog_163 MGL01586.1 SCH21909.1
ortholog_164 MGL00013.1 SCH21842.1
ortholog_165 MGL01144.1 SCH23284.1
ortholog_166 MGL00720.1 SCH22452.1
ortholog_167 MGL00112.1 SCH22912.1
ortholog_168 MGL00218.1 SCH06777.1
ortholog_169 MGL00478.1 SCH06986.1
ortholog_170 MGL01052.1 SCH22769.1
ortholog_171 MGL00895.1 SCH21969.1
ortholog_172 MGL00592.1 SCH20414.1
ortholog_173 MGL00477.1 SCH22397.1
ortholog_174 MGL00429.1 SCH22716.1
ortholog_175 MGL00318.1 SCH22848.1
ortholog_176 MGL00539.1 SCH10753.1
ortholog_177 MGL01444.1 SCH21802.1
ortholog_178 MGL00102.1 SCH23129.1
ortholog_179 MGL00366.1 SCH22207.1
ortholog_180 MGL00422.1 SCH22537.1
ortholog_181 MGL00934.1 SCH22481.1
ortholog_182 MGL00473.1 SCH22938.1
ortholog_183 MGL00528.1 SCH21783.1
ortholog_184 MGL00582.1 SCH21767.1
ortholog_185 MGL00688.1 SCH22678.1
ortholog_186 MGL00523.1 SCH21925.1
ortholog_187 MGL01129.1 SCH23120.1
ortholog_188 MGL00783.1 SCH22298.1
ortholog_189 MGL00829.1 SCH21776.1
ortholog_190 MGL01152.1 SCH21841.1
ortholog_191 MGL00150.1 SCH21806.1
ortholog_192 MGL01207.1 SCH21902.1
ortholog_193 MGL01258.1 SCH22283.1
ortholog_194 MGL01311.1 SCH23008.1
ortholog_195 MGL01342.1 SCH22012.1
ortholog_196 MGL01395.1 SCH21950.1
ortholog_197 MGL00007.1 SCH22138.1
ortholog_198 MGL00103.1 SCH22438.1
ortholog_199 MGL00212.1 SCH11120.1
ortholog_200 MGL00264.1 SCH22499.1
ortholog_201 MGL00313.1 SCH23076.1
ortholog_202 MGL00469.1 SCH22796.1
ortholog_203 MGL00423.1 SCH21983.1
ortholog_204 MGL00583.1 SCH22076.1
ortholog_205 MGL00043.1 SCH02979.1
ortholog_206 MGL00735.1 SCH22436.1
ortholog_207 MGL00784.1 SCH22305.1
ortholog_208 MGL00830.1 SCH22433.1
ortholog_209 MGL01353.1 SCH22963.1
ortholog_210 MGL01566.1 SCH23334.1
ortholog_211 MGL01321.1 SCH22667.1
ortholog_212 MGL01272.1 SCH22115.1
ortholog_213 MGL01219.1 SCH23338.1
ortholog_214 MGL01239.1 SCH22618.1
ortholog_215 MGL01163.1 SCH23045.1
ortholog_216 MGL01059.1 SCH16400.1
ortholog_217 MGL00157.1 SCH22765.1
ortholog_218 MGL00959.1 SCH22061.1
ortholog_219 MGL00902.1 SCH21894.1
ortholog_220 MGL00842.1 SCH22955.1
ortholog_221 MGL00699.1 SCH22195.1
ortholog_222 MGL00599.1 SCH22456.1
ortholog_223 MGL00435.1 SCH22289.1
ortholog_224 MGL00378.1 SCH21972.1
ortholog_225 MGL00326.1 SCH22153.1
ortholog_226 MGL00224.1 SCH22278.1
ortholog_227 MGL00299.1 SCH21982.1
ortholog_228 MGL00117.1 SCH23145.1
ortholog_229 MGL00018.1 SCH06009.1
ortholog_230 MGL00662.1 SCH21727.1
ortholog_231 MGL00707.1 SCH21936.1
ortholog_232 MGL00751.1 SCH22009.1
ortholog_233 MGL00849.1 SCH21696.1
ortholog_234 MGL00910.1 SCH22644.1
ortholog_235 MGL01065.1 SCH21684.1
ortholog_236 MGL01115.1 SCH22288.1
ortholog_237 MGL00096.1 SCH11295.1
ortholog_238 MGL01227.1 SCH22236.1
ortholog_239 MGL01417.1 SCH22295.1
ortholog_240 MGL01464.1 SCH22420.1
ortholog_241 MGL01602.1 SCH22558.1
ortholog_242 MGL00027.1 SCH22324.1
ortholog_243 MGL00079.1 SCH22111.1
ortholog_244 MGL00176.1 SCH22633.1
ortholog_245 MGL00338.1 SCH21976.1
ortholog_246 MGL00286.1 SCH09005.1
ortholog_247 MGL00394.1 SCH08776.1
ortholog_248 MGL00496.1 SCH21774.1
ortholog_249 MGL00558.1 SCH23192.1
ortholog_250 MGL00667.1 SCH22133.1
ortholog_251 MGL00711.1 SCH22242.1
ortholog_252 MGL00658.1 SCH22301.1
ortholog_253 MGL00745.1 SCH04668.1
ortholog_254 MGL00799.1 SCH22864.1
ortholog_255 MGL00904.1 SCH21742.1
ortholog_256 MGL00307.1 SCH21998.1
ortholog_257 MGL00193.1 SCH22406.1
ortholog_258 MGL01010.1 SCH22055.1
ortholog_259 MGL01275.1 SCH23230.1
ortholog_260 MGL01221.1 SCH22588.1
ortholog_261 MGL01166.1 SCH22199.1
ortholog_262 MGL00521.1 SCH12465.1
ortholog_263 MGL01299.1 SCH14962.1
ortholog_264 MGL01545.1 SCH04146.1
ortholog_265 MGL00870.1 SCH23375.1
ortholog_266 MGL00173.1 SCH22416.1
ortholog_267 MGL00227.1 SCH21895.1
ortholog_268 MGL00047.1 SCH02020.1
ortholog_269 MGL00141.1 SCH22869.1
