ortholog_1 BL06853 Em0023g52a
ortholog_2 BL06854 Em0006g11a
ortholog_3 BL06858 Em0009g1118a
ortholog_4 BL06866 Em0438g10a
ortholog_5 BL06868 Em0018g106a
ortholog_6 BL06871 Em0017g84a
ortholog_7 BL06872 Em0022g262a
ortholog_8 BL06876 Em0023g247a
ortholog_9 BL06879 Em0018g1141a
ortholog_10 BL06881 Em0005g1680a
ortholog_11 BL06898 Em0023g196a
ortholog_12 BL06899 Em0023g197a
ortholog_13 BL06900 Em0005g551a
ortholog_14 BL06904 Em0023g76a
ortholog_15 BL06905 Em0016g1137a
ortholog_16 BL06913 Em0023g68a
ortholog_17 BL06917 Em0023g30a
ortholog_18 BL06921 Em0023g152a
ortholog_19 BL06923 Em0023g75a
ortholog_20 BL06933 Em0023g27a
ortholog_21 BL06935 Em0010g418a
ortholog_22 BL06936 Em0004g1386a
ortholog_23 BL06937 Em0006g1224a
ortholog_24 BL06944 Em0019g643a
ortholog_25 BL06946 Em0023g308a
ortholog_26 BL06956 Em0015g755a
ortholog_27 BL06959 Em0023g29a
ortholog_28 BL06975 Em0023g307a
ortholog_29 BL06976 Em0001g86a
ortholog_30 BL06977 Em0023g123a
ortholog_31 BL06979 Em0023g125a
ortholog_32 BL06982 Em0016g273a
ortholog_33 BL06987 Em0013g356a
ortholog_34 BL06990 Em0023g34a
ortholog_35 BL06993 Em0004g149a
ortholog_36 BL06994 Em0023g65a
ortholog_37 BL07006 Em0023g241a
ortholog_38 BL07011 Em0023g280a
ortholog_39 BL07013 Em0014g555a
ortholog_40 BL07018 Em0022g326a
ortholog_41 BL07019 Em0023g58a
ortholog_42 BL07021 Em0023g54a
ortholog_43 BL07022 Em0023g353a
ortholog_44 BL07023 Em0774g4a
ortholog_45 BL07026 Em0513g2a
ortholog_46 BL07032 Em0023g39a
ortholog_47 BL07036 Em0023g94a
ortholog_48 BL07045 Em0013g44a
ortholog_49 BL07048 Em0005g1372a
ortholog_50 BL07050 Em0358g4a
ortholog_51 BL07053 Em0012g177a
ortholog_52 BL07065 Em0005g1488a
ortholog_53 BL07067 Em0001g216a
ortholog_54 BL07069 Em0023g274a
ortholog_55 BL07072 Em0023g305a
ortholog_56 BL07074 Em0023g86a
ortholog_57 BL07091 Em0009g1194a
ortholog_58 BL07092 Em0009g1195a
ortholog_59 BL07103 Em0008g1222a
ortholog_60 BL07104 Em0022g123a
ortholog_61 BL07105 Em0015g763a
ortholog_62 BL07109 Em0021g71a
ortholog_63 BL07110 Em0009g1305a
ortholog_64 BL07111 Em0009g976a
ortholog_65 BL07112 Em0014g582a
ortholog_66 BL07115 Em0009g1196a
ortholog_67 BL07121 Em0003g1413a
ortholog_68 BL07122 Em0009g188a
ortholog_69 BL07123 Em0016g790a
ortholog_70 BL07124 Em0017g180a
ortholog_71 BL07126 Em0823g1a
ortholog_72 BL07133 Em0018g1071a
ortholog_73 BL07136 Em0021g368a
ortholog_74 BL07137 Em0009g1177a
ortholog_75 BL07144 Em0058g14a
ortholog_76 BL07147 Em0013g160a
ortholog_77 BL07154 Em0018g187a
ortholog_78 BL07155 Em0009g121a
ortholog_79 BL07156 Em0020g865a
ortholog_80 BL07157 Em0001g180a
ortholog_81 BL07160 Em0023g936a
ortholog_82 BL07165 Em0009g1268a
ortholog_83 BL07169 Em0011g642a
ortholog_84 BL07176 Em0009g1026a
ortholog_85 BL07190 Em0012g422a
ortholog_86 BL07196 Em0009g1074a
ortholog_87 BL07198 Em0015g1137a
ortholog_88 BL07201 Em0009g1167a
ortholog_89 BL07205 Em0009g592a
ortholog_90 BL07209 Em0018g670a
ortholog_91 BL07211 Em0009g994a
ortholog_92 BL07212 Em0009g969a
ortholog_93 BL07213 Em0009g156a
ortholog_94 BL07215 Em0009g1307a
ortholog_95 BL07220 Em0009g1298a
ortholog_96 BL07223 Em0009g181a
ortholog_97 BL07235 Em0018g1030a
ortholog_98 BL07238 Em0013g697a
ortholog_99 BL07239 Em0023g204a
ortholog_100 BL07240 Em0016g140a
ortholog_101 BL07241 Em0023g370a
ortholog_102 BL07250 Em0016g383a
ortholog_103 BL07256 Em0020g93a
ortholog_104 BL07258 Em0008g207a
ortholog_105 BL07259 Em0008g287a
ortholog_106 BL07267 Em0021g422a
ortholog_107 BL07268 Em0009g1248a
ortholog_108 BL07275 Em0014g246a
ortholog_109 BL07276 Em0009g1297a
ortholog_110 BL07278 Em0009g593a
ortholog_111 BL07282 Em0009g605a
ortholog_112 BL07286 Em0005g526a
ortholog_113 BL07289 Em0009g55a
ortholog_114 BL07290 Em0016g998a
ortholog_115 BL07291 Em0009g805a
ortholog_116 BL07293 Em0009g1233a
ortholog_117 BL07295 Em0009g1236a
ortholog_118 BL07298 Em0005g1652a
ortholog_119 BL07302 Em0009g983a
ortholog_120 BL07307 Em0009g241a
ortholog_121 BL07311 Em0009g998a
ortholog_122 BL07312 Em0009g946a
ortholog_123 BL07317 Em0009g1093a
ortholog_124 BL07318 Em0009g138a
ortholog_125 BL07329 Em0019g348a
ortholog_126 BL07330 Em0023g284a
ortholog_127 BL07331 Em0012g335a
ortholog_128 BL07332 Em0005g22a
ortholog_129 BL07337 Em0009g1218a
ortholog_130 BL07338 Em0019g956a
ortholog_131 BL07340 Em0009g974a
ortholog_132 BL07341 Em0005g1641a
ortholog_133 BL07342 Em0014g563a
ortholog_134 BL07348 Em0012g994a
ortholog_135 BL07349 Em0009g152a
ortholog_136 BL07352 Em0009g997a
ortholog_137 BL07353 Em0009g975a
ortholog_138 BL07362 Em0009g1173a
ortholog_139 BL07366 Em0013g662a
ortholog_140 BL07367 Em0017g187a
ortholog_141 BL07369 Em0009g1281a
ortholog_142 BL07370 Em0009g1275a
ortholog_143 BL07371 Em0009g694a
ortholog_144 BL07372 Em0009g526a
ortholog_145 BL07374 Em0015g1218a
ortholog_146 BL07375 Em0023g350a
ortholog_147 BL07376 Em0001g1776a
ortholog_148 BL07381 Em0011g736a
ortholog_149 BL07383 Em0009g484a
ortholog_150 BL07384 Em0009g1286a
ortholog_151 BL07385 Em0009g1284a
ortholog_152 BL07387 Em0009g1240a
ortholog_153 BL07389 Em0009g693a
ortholog_154 BL07393 Em0019g762a
ortholog_155 BL07396 Em0020g228a
ortholog_156 BL07400 Em0023g244a
ortholog_157 BL07402 Em0023g46a
ortholog_158 BL07405 Em0011g463a
ortholog_159 BL07408 Em0023g221a
ortholog_160 BL07412 Em0011g860a
ortholog_161 BL07413 Em0009g1121a
ortholog_162 BL07416 Em0009g1123a
ortholog_163 BL07418 Em0006g1237a
ortholog_164 BL07420 Em0009g899a
ortholog_165 BL07421 Em0009g938a
ortholog_166 BL07423 Em0001g1233a
