ortholog_1 g320 BL22201
ortholog_2 g378 BL01105
ortholog_3 g621 BL19936
ortholog_4 g699 BL27539
ortholog_5 g744 BL25981
ortholog_6 g801 BL13880
ortholog_7 g844 BL20939
ortholog_8 g871 BL27743
ortholog_9 g1057 BL10277
ortholog_10 g1087 BL05277
ortholog_11 g1090 BL06323
ortholog_12 g1115 BL05263
ortholog_13 g1131 BL14619
ortholog_14 g1149 BL05328
ortholog_15 g1163 BL23445
ortholog_16 g1205 BL19666
ortholog_17 g1208 BL19665
ortholog_18 g1239 BL16987
ortholog_19 g1274 BL23068
ortholog_20 g1335 BL06287
ortholog_21 g1342 BL03195
ortholog_22 g1401 BL24296
ortholog_23 g1443 BL06955
ortholog_24 g1451 BL13285
ortholog_25 g1475 BL25343
ortholog_26 g1528 BL21069
ortholog_27 g1537 BL25328
ortholog_28 g1623 BL03981
ortholog_29 g1631 BL19914
ortholog_30 g1661 BL04130
ortholog_31 g1682 BL23815
ortholog_32 g1727 BL20239
ortholog_33 g1788 BL05442
ortholog_34 g1809 BL19110
ortholog_35 g1841 BL19986
ortholog_36 g1970 BL20001
ortholog_37 g1993 BL19907
ortholog_38 g2008 BL19908
ortholog_39 g2010 BL19909
ortholog_40 g2013 BL04017
ortholog_41 g2022 BL04018
ortholog_42 g2027 BL20404
ortholog_43 g2029 BL20403
ortholog_44 g2042 BL00785
ortholog_45 g2092 BL20217
ortholog_46 g2195 BL16178
ortholog_47 g2284 BL21923
ortholog_48 g2309 BL10465
ortholog_49 g2321 BL20278
ortholog_50 g2346 BL14176
ortholog_51 g2357 BL20279
ortholog_52 g2417 BL19993
ortholog_53 g2500 BL20530
ortholog_54 g2503 BL20074
ortholog_55 g2526 BL03922
ortholog_56 g2736 BL10010
ortholog_57 g2791 BL03944
ortholog_58 g2808 BL03943
ortholog_59 g2822 BL03916
ortholog_60 g2839 BL26309
ortholog_61 g2885 BL03938
ortholog_62 g2898 BL03917
ortholog_63 g2964 BL26681
ortholog_64 g3008 BL10009
ortholog_65 g3013 BL19738
ortholog_66 g3069 BL19899
ortholog_67 g3072 BL19900
ortholog_68 g3090 BL24275
ortholog_69 g3201 BL22886
ortholog_70 g3258 BL20058
ortholog_71 g3265 BL20686
ortholog_72 g3268 BL07190
ortholog_73 g3275 BL20037
ortholog_74 g3288 BL09188
ortholog_75 g3384 BL20377
ortholog_76 g3399 BL09187
ortholog_77 g3424 BL09984
ortholog_78 g3470 BL11874
ortholog_79 g3639 BL20448
ortholog_80 g3641 BL27911
ortholog_81 g3671 BL21514
ortholog_82 g3673 BL24227
ortholog_83 g3679 BL10372
ortholog_84 g3737 BL19922
ortholog_85 g3746 BL03982
ortholog_86 g3758 BL25414
ortholog_87 g3768 BL13924
ortholog_88 g3770 BL01054
ortholog_89 g3794 BL03983
ortholog_90 g3864 BL12317
ortholog_91 g3950 BL20462
ortholog_92 g3957 BL20463
ortholog_93 g3962 BL20555
ortholog_94 g3976 BL13383
ortholog_95 g3978 BL13384
ortholog_96 g4007 BL19917
ortholog_97 g4012 BL18515
ortholog_98 g4018 BL04920
ortholog_99 g4023 BL04919
ortholog_100 g4033 BL20545
ortholog_101 g4051 BL04070
ortholog_102 g4060 BL03956
ortholog_103 g4066 BL20737
ortholog_104 g4071 BL20736
ortholog_105 g4104 BL00249
ortholog_106 g4265 BL14378
ortholog_107 g4300 BL06701
ortholog_108 g4320 BL02762
ortholog_109 g4327 BL20299
ortholog_110 g4356 BL20190
ortholog_111 g4371 BL20026
ortholog_112 g4416 BL24257
ortholog_113 g4459 BL05905
ortholog_114 g4470 BL04828
ortholog_115 g4503 BL03987
ortholog_116 g4515 BL20572
ortholog_117 g4531 BL16053
ortholog_118 g4597 BL20055
ortholog_119 g4605 BL15769
ortholog_120 g4613 BL10784
ortholog_121 g4616 BL04003
ortholog_122 g4659 BL10023
ortholog_123 g4663 BL14685
ortholog_124 g4724 BL03999
ortholog_125 g4740 BL24284
ortholog_126 g4749 BL20246
ortholog_127 g4758 BL20247
ortholog_128 g4814 BL20408
ortholog_129 g4822 BL03957
ortholog_130 g4832 BL04056
ortholog_131 g4838 BL20089
ortholog_132 g4845 BL20456
ortholog_133 g4869 BL00383
ortholog_134 g4871 BL20552
ortholog_135 g4875 BL04053
ortholog_136 g4927 BL20601
ortholog_137 g4947 BL19881
ortholog_138 g4951 BL13387
ortholog_139 g4960 BL13388
ortholog_140 g4965 BL01721
ortholog_141 g4971 BL15557
ortholog_142 g5008 BL20061
ortholog_143 g5063 BL18904
ortholog_144 g5100 BL20569
ortholog_145 g5104 BL20568
