ortholog_1 MGL01089.1 g162422
ortholog_2 MGL01401.1 g161550
ortholog_3 MGL01487.1 g161879
ortholog_4 MGL00722.1 g102299
ortholog_5 MGL01583.1 g158731
ortholog_6 MGL00109.1 g158725
ortholog_7 MGL00163.1 g156150
ortholog_8 MGL01561.1 g161924
ortholog_9 MGL01392.1 g54654
ortholog_10 MGL00100.1 g161925
ortholog_11 MGL00317.1 g161977
ortholog_12 MGL00475.1 g162190
ortholog_13 MGL00534.1 g154442
ortholog_14 MGL00836.1 g199782
ortholog_15 MGL01373.1 g157770
ortholog_16 MGL00951.1 g160287
ortholog_17 MGL00999.1 g157767
ortholog_18 MGL01104.1 g174462
ortholog_19 MGL01158.1 g158917
ortholog_20 MGL00099.1 g158930
ortholog_21 MGL01450.1 g158932
ortholog_22 MGL01488.1 g162068
ortholog_23 MGL01584.1 g154732
ortholog_24 MGL00438.1 g158213
ortholog_25 MGL00277.1 g157879
ortholog_26 MGL00120.1 g155806
ortholog_27 MGL00073.1 g161255
ortholog_28 MGL01596.1 g157138
ortholog_29 MGL01544.1 g156215
ortholog_30 MGL01500.1 g156225
ortholog_31 MGL01411.1 g155595
ortholog_32 MGL01323.1 g161377
ortholog_33 MGL01613.1 g54869
ortholog_34 MGL01009.1 g153874
ortholog_35 MGL00483.1 g160135
ortholog_36 MGL00568.1 g158521
ortholog_37 MGL00451.1 g153567
ortholog_38 MGL00417.1 g153558
ortholog_39 MGL00348.1 g164008
ortholog_40 MGL00246.1 g164011
ortholog_41 MGL00190.1 g156899
ortholog_42 MGL01035.1 g154474
ortholog_43 MGL00042.1 g153965
ortholog_44 MGL01615.1 g156979
ortholog_45 MGL00626.1 g158737
ortholog_46 MGL00777.1 g139284
ortholog_47 MGL01086.1 g28359
ortholog_48 MGL00826.1 g157117
ortholog_49 MGL00780.1 g157118
ortholog_50 MGL00686.1 g163340
ortholog_51 MGL00580.1 g155620
ortholog_52 MGL01197.1 g159819
ortholog_53 MGL00420.1 g159852
ortholog_54 MGL00364.1 g159536
ortholog_55 MGL00512.1 g159535
ortholog_56 MGL00210.1 g161258
ortholog_57 MGL00159.1 g164084
ortholog_58 MGL00004.1 g20512
ortholog_59 MGL01576.1 g159626
ortholog_60 MGL01482.1 g161462
ortholog_61 MGL01571.1 g157520
ortholog_62 MGL00624.1 g154584
ortholog_63 MGL01393.1 g154586
ortholog_64 MGL01252.1 g155829
ortholog_65 MGL01440.1 g158017
ortholog_66 MGL00637.1 g159338
ortholog_67 MGL01305.1 g158689
