ortholog_1 g320 Em0018g373a
ortholog_2 g503 Em0007g825a
ortholog_3 g513 Em0023g229a
ortholog_4 g699 Em0001g3429a
ortholog_5 g726 Em0008g837a
ortholog_6 g1091 Em0018g164a
ortholog_7 g1124 Em0003g1a
ortholog_8 g1149 Em0018g252a
ortholog_9 g1169 Em0020g13a
ortholog_10 g1205 Em0018g1095a
ortholog_11 g1239 Em0011g632a
ortholog_12 g1274 Em0004g31a
ortholog_13 g1335 Em0011g231a
ortholog_14 g1340 Em0019g699a
ortholog_15 g1365 Em0477g1a
ortholog_16 g1401 Em0010g945a
ortholog_17 g1443 Em0016g904a
ortholog_18 g1451 Em0023g109a
ortholog_19 g1484 Em0009g963a
ortholog_20 g1633 Em0021g490a
ortholog_21 g1682 Em0015g569a
ortholog_22 g1717 Em0008g394a
ortholog_23 g1809 Em0015g133a
ortholog_24 g1838 Em0023g449a
ortholog_25 g1993 Em0015g698a
ortholog_26 g2008 Em0015g613a
ortholog_27 g2010 Em0015g612a
ortholog_28 g2027 Em0015g862a
ortholog_29 g2028 Em0015g861a
ortholog_30 g2029 Em0015g604a
ortholog_31 g2046 Em0006g1174a
ortholog_32 g2284 Em0015g321a
ortholog_33 g2500 Em0015g60a
ortholog_34 g2503 Em0015g705a
ortholog_35 g2514 Em0015g707a
ortholog_36 g2732 Em0008g1024a
ortholog_37 g2735 Em0015g1186a
ortholog_38 g2808 Em0015g1255a
ortholog_39 g2822 Em0015g173a
ortholog_40 g2898 Em0015g340a
ortholog_41 g2904 Em0005g1631a
ortholog_42 g3015 Em0001g234a
ortholog_43 g3069 Em0015g716a
ortholog_44 g3072 Em0011g8a
ortholog_45 g3090 Em0015g803a
ortholog_46 g3147 Em0015g1222a
ortholog_47 g3258 Em0018g97a
ortholog_48 g3272 Em0012g422a
ortholog_49 g3384 Em0015g109a
ortholog_50 g3424 Em0015g634a
ortholog_51 g3611 Em0007g1075a
ortholog_52 g3641 Em0017g408a
ortholog_53 g3737 Em0015g105a
ortholog_54 g3746 Em0019g503a
ortholog_55 g3770 Em0005g42a
ortholog_56 g3794 Em0015g1034a
ortholog_57 g3950 Em0015g552a
ortholog_58 g3957 Em0001g1027a
ortholog_59 g3962 Em0015g1266a
ortholog_60 g3978 Em0015g230a
ortholog_61 g4014 Em0003g1420a
ortholog_62 g4034 Em0015g645a
ortholog_63 g4057 Em0015g31a
ortholog_64 g4060 Em0015g481a
ortholog_65 g4062 Em0015g482a
ortholog_66 g4071 Em0015g277a
ortholog_67 g4104 Em0088g2a
ortholog_68 g4341 Em0015g608a
ortholog_69 g4356 Em0011g34a
ortholog_70 g4371 Em0015g307a
ortholog_71 g4384 Em0024g138a
ortholog_72 g4470 Em0015g172a
ortholog_73 g4508 Em0015g1239a
ortholog_74 g4522 Em0011g798a
ortholog_75 g4531 Em0011g803a
ortholog_76 g4572 Em0015g42a
ortholog_77 g4597 Em0015g38a
ortholog_78 g4605 Em0010g898a
ortholog_79 g4616 Em0015g984a
ortholog_80 g4739 Em0015g152a
ortholog_81 g4749 Em0015g378a
ortholog_82 g4838 Em0005g1588a
ortholog_83 g4845 Em0015g611a
ortholog_84 g4950 Em0015g692a
ortholog_85 g4951 Em0020g700a
ortholog_86 g4960 Em0015g291a
ortholog_87 g5109 Em0004g96a
ortholog_88 g5113 Em0015g983a
ortholog_89 g5118 Em0015g37a
ortholog_90 g5125 Em0015g461a
ortholog_91 g5151 Em0015g84a
ortholog_92 g5185 Em0010g751a
ortholog_93 g5196 Em0003g1258a
ortholog_94 g5227 Em0009g853a
ortholog_95 g5259 Em0012g794a
ortholog_96 g5262 Em0015g83a
ortholog_97 g5267 Em0015g1220a
ortholog_98 g5276 Em0015g288a
ortholog_99 g5353 Em0018g1202a
ortholog_100 g5385 Em0016g221a
ortholog_101 g5395 Em0015g622a
ortholog_102 g5402 Em0015g781a
ortholog_103 g5430 Em0002g1068a
ortholog_104 g5458 Em0015g626a
ortholog_105 g5459 Em0015g1137a
ortholog_106 g5499 Em0015g1161a
ortholog_107 g5506 Em0563g1a
ortholog_108 g5511 Em0701g1a
ortholog_109 g5517 Em0015g665a
ortholog_110 g5547 Em0015g1219a
ortholog_111 g5611 Em0004g164a
ortholog_112 g5621 Em0015g224a
ortholog_113 g5624 Em0015g110a
ortholog_114 g5650 Em0015g111a
ortholog_115 g5674 Em0012g983a
ortholog_116 g5675 Em0008g84a
ortholog_117 g5681 Em0015g127a
ortholog_118 g5720 Em0015g325a
ortholog_119 g5730 Em0015g676a
ortholog_120 g5809 Em0015g1084a
ortholog_121 g5821 Em0002g79a
ortholog_122 g5845 Em0015g137a
ortholog_123 g5860 Em0015g139a
ortholog_124 g5871 Em0015g1260a
ortholog_125 g5887 Em0019g411a
ortholog_126 g5910 Em0005g1020a
ortholog_127 g5928 Em0004g82a
ortholog_128 g5936 Em0015g880a
ortholog_129 g5957 Em0015g1262a
ortholog_130 g6061 Em0015g807a
ortholog_131 g6063 Em0015g809a
ortholog_132 g6101 Em0196g1a
ortholog_133 g6145 Em0005g959a
ortholog_134 g6198 Em0001g2039a
ortholog_135 g6212 Em0015g568a
ortholog_136 g6291 Em0014g155a
ortholog_137 g6328 Em0015g1221a
ortholog_138 g6330 Em0018g384a
ortholog_139 g6354 Em0015g695a
ortholog_140 g6360 Em0015g762a
ortholog_141 g6367 Em0015g567a
ortholog_142 g6369 Em0015g610a
ortholog_143 g6426 Em0202g3a
ortholog_144 g6451 Em0018g187a
ortholog_145 g6468 Em0015g1158a
ortholog_146 g6472 Em0020g209a
ortholog_147 g6547 Em0015g46a
ortholog_148 g6555 Em0015g95a
ortholog_149 g6568 Em0015g1162a
ortholog_150 g6588 Em0015g49a
ortholog_151 g6625 Em0015g782a
ortholog_152 g6627 Em0015g785a
ortholog_153 g6634 Em0015g825a
ortholog_154 g6638 Em0023g151a
ortholog_155 g6667 Em0015g1071a
ortholog_156 g6701 Em0597g2a
ortholog_157 g6702 Em0598g2a
ortholog_158 g6733 Em0015g159a
ortholog_159 g6735 Em0004g1380a
ortholog_160 g6775 Em0015g289a
